fc_subsidy_id,ref_bbl,ref_address,agency_name,subsidy_name,sub_subsidy_name,project_name,start_date,end_date,tenure,preservation,program,reac_score,reac_date,tot_bbls,tot_buildings,tot_units,city_id,city_name,boro_id,boro_name,cd_id,cd_name,sba_id,sba_name,ccd_id,ccd_name,tract_10,data_dof,data_hcrlihtc,data_hpd,data_hpdlihtc,data_hudcon,data_hudfin,data_hudlihtc,data_ml,data_nycha,sub_fin,sub_prog,sub_tax,sub_zone,prog_202_8,start_202_8,end_202_8,prog_221d,start_221d,end_221d,prog_223,start_223,end_223,prog_420c,start_420c,end_420c,prog_421a,start_421a,end_421a,prog_421a_aff,start_421a_aff,end_421a_aff,prog_8a,start_8a,end_8a,prog_hpd_oth,start_hpd_oth,end_hpd_oth,prog_hud_fin_oth,start_hud_fin_oth,end_hud_fin_oth,prog_hud_proj_oth,start_hud_proj_oth,end_hud_proj_oth,prog_inclus_hous,start_inclus_hous,end_inclus_hous,prog_j51,start_j51,end_j51,prog_lamp,start_lamp,end_lamp,prog_lihtc4,start_lihtc4,end_lihtc4,prog_lihtc9,start_lihtc9,end_lihtc9,prog_lmsa,start_lmsa,end_lmsa,prog_mfp,start_mfp,end_mfp,prog_ml,start_ml,end_ml,prog_nep,start_nep,end_nep,prog_nrp,start_nrp,end_nrp,prog_nycha_mix,start_nycha_mix,end_nycha_mix,prog_nycha_ph,start_nycha_ph,end_nycha_ph,prog_plp,start_plp,end_plp,prog_prac_202,start_prac_202,end_prac_202,prog_proj8,start_proj8,end_proj8,prog_rad,start_rad,end_rad,prog_tpt,start_tpt,end_tpt,prog_year15,start_year15,end_year15
01000000000001,1000160015,50 Battery Place,NYS Housing Finance Agency,Financing,LIHTC 4%,SOUTH COVE,20000101,20301231,Rental,,FALSE,,,1,1,208,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031704,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20000101,20301231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000002,1000160020,70 Battery Place,NYS Housing Finance Agency,Financing,LIHTC 4%,BATTERY PLACE,19990101,20291231,Rental,,FALSE,,,1,1,209,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031704,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000003,1000160210,399 Chambers Street,NYS Housing Finance Agency,Financing,LIHTC 4%,TRIBECA POINTE,19980101,20281231,Rental,,FALSE,,,1,1,340,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031703,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20281231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000004,1000167522,400 Chambers Street,NYS Housing Finance Agency,Financing,LIHTC 4%,TRIBECA PARK,19990101,20291231,Rental,Preservation,FALSE,,,1,2,396,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031703,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000005,1000787510,110 Fulton Street,NYC Department of Housing Preservation and Development,Financing,LIHTC 4%,16 DUTCH HDFC,20080101,20381231,Rental,Preservation,FALSE,,,1,1,29,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061001502,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20080101,20381231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000006,1000900017,113 Nassau Street,NYS Housing Finance Agency,Financing,LIHTC 4%,ANN AND NASSAU STREETS,,,Rental,,FALSE,,,1,1,168,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061001501,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000007,1001427501,270 Greenwich Street,NYC Department of Housing Preservation and Development,Financing,LIHTC 4%,89 MURRAY STREET,20100101,20401231,Rental,,FALSE,,,1,1,381,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061002100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20401231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000009,1001700020,111 Worth Street,NYS Housing Finance Agency,Financing,LIHTC 4%,WORTH STREET,20030101,20331231,Rental,,FALSE,,,1,1,331,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061003100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20030101,20331231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000011,1002480070,80 Rutgers Slip,NYC Department of Housing Preservation and Development,Financing,LIHTC 4%,TWO BRIDGES SENIOR APARTMENTS,20060101,20361231,Rental,Preservation,FALSE,,,1,1,109,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061000600,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20060101,20361231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
01000000000012,1002550001,45 Pike Street,NYC Department of Housing Preservation and Development,Financing,LIHTC 4%,RUTGERS,20110101,20411231,Rental,Preservation,FALSE,,,1,5,721,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061000600,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20110101,20411231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
