GEOID,NAME,B11001_001E,source,year
36005000100,"Census Tract 1, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005000200,"Census Tract 2, Bronx, NY",1416.0,censusreporter:acs2024_5yr,2024
36005000400,"Census Tract 4, Bronx, NY",2218.0,censusreporter:acs2024_5yr,2024
36005001600,"Census Tract 16, Bronx, NY",2083.0,censusreporter:acs2024_5yr,2024
36005001901,"Census Tract 19.01, Bronx, NY",1149.0,censusreporter:acs2024_5yr,2024
36005001902,"Census Tract 19.02, Bronx, NY",624.0,censusreporter:acs2024_5yr,2024
36005001903,"Census Tract 19.03, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005001904,"Census Tract 19.04, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005002001,"Census Tract 20.01, Bronx, NY",1729.0,censusreporter:acs2024_5yr,2024
36005002002,"Census Tract 20.02, Bronx, NY",1808.0,censusreporter:acs2024_5yr,2024
36005002300,"Census Tract 23, Bronx, NY",1904.0,censusreporter:acs2024_5yr,2024
36005002400,"Census Tract 24, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005002500,"Census Tract 25, Bronx, NY",1872.0,censusreporter:acs2024_5yr,2024
36005002701,"Census Tract 27.01, Bronx, NY",1197.0,censusreporter:acs2024_5yr,2024
36005002702,"Census Tract 27.02, Bronx, NY",1528.0,censusreporter:acs2024_5yr,2024
36005002800,"Census Tract 28, Bronx, NY",2806.0,censusreporter:acs2024_5yr,2024
36005003100,"Census Tract 31, Bronx, NY",1162.0,censusreporter:acs2024_5yr,2024
36005003300,"Census Tract 33, Bronx, NY",1243.0,censusreporter:acs2024_5yr,2024
36005003500,"Census Tract 35, Bronx, NY",1428.0,censusreporter:acs2024_5yr,2024
36005003700,"Census Tract 37, Bronx, NY",149.0,censusreporter:acs2024_5yr,2024
36005003800,"Census Tract 38, Bronx, NY",392.0,censusreporter:acs2024_5yr,2024
36005003900,"Census Tract 39, Bronx, NY",2197.0,censusreporter:acs2024_5yr,2024
36005004001,"Census Tract 40.01, Bronx, NY",489.0,censusreporter:acs2024_5yr,2024
36005004100,"Census Tract 41, Bronx, NY",2468.0,censusreporter:acs2024_5yr,2024
36005004200,"Census Tract 42, Bronx, NY",2839.0,censusreporter:acs2024_5yr,2024
36005004300,"Census Tract 43, Bronx, NY",2230.0,censusreporter:acs2024_5yr,2024
36005004400,"Census Tract 44, Bronx, NY",1539.0,censusreporter:acs2024_5yr,2024
36005004600,"Census Tract 46, Bronx, NY",664.0,censusreporter:acs2024_5yr,2024
36005004800,"Census Tract 48, Bronx, NY",1498.0,censusreporter:acs2024_5yr,2024
36005005001,"Census Tract 50.01, Bronx, NY",1406.0,censusreporter:acs2024_5yr,2024
36005005002,"Census Tract 50.02, Bronx, NY",1880.0,censusreporter:acs2024_5yr,2024
36005005100,"Census Tract 51, Bronx, NY",2930.0,censusreporter:acs2024_5yr,2024
36005005200,"Census Tract 52, Bronx, NY",813.0,censusreporter:acs2024_5yr,2024
36005005300,"Census Tract 53, Bronx, NY",1614.0,censusreporter:acs2024_5yr,2024
36005005400,"Census Tract 54, Bronx, NY",1756.0,censusreporter:acs2024_5yr,2024
36005005600,"Census Tract 56, Bronx, NY",1006.0,censusreporter:acs2024_5yr,2024
36005005902,"Census Tract 59.02, Bronx, NY",1288.0,censusreporter:acs2024_5yr,2024
36005006000,"Census Tract 60, Bronx, NY",386.0,censusreporter:acs2024_5yr,2024
36005006100,"Census Tract 61, Bronx, NY",1875.0,censusreporter:acs2024_5yr,2024
36005006200,"Census Tract 62, Bronx, NY",2544.0,censusreporter:acs2024_5yr,2024
36005006301,"Census Tract 63.01, Bronx, NY",3045.0,censusreporter:acs2024_5yr,2024
36005006302,"Census Tract 63.02, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005006400,"Census Tract 64, Bronx, NY",1574.0,censusreporter:acs2024_5yr,2024
36005006500,"Census Tract 65, Bronx, NY",2245.0,censusreporter:acs2024_5yr,2024
36005006700,"Census Tract 67, Bronx, NY",2640.0,censusreporter:acs2024_5yr,2024
36005006800,"Census Tract 68, Bronx, NY",893.0,censusreporter:acs2024_5yr,2024
36005006900,"Census Tract 69, Bronx, NY",2705.0,censusreporter:acs2024_5yr,2024
36005007000,"Census Tract 70, Bronx, NY",1447.0,censusreporter:acs2024_5yr,2024
36005007100,"Census Tract 71, Bronx, NY",1530.0,censusreporter:acs2024_5yr,2024
36005007200,"Census Tract 72, Bronx, NY",1625.0,censusreporter:acs2024_5yr,2024
36005007300,"Census Tract 73, Bronx, NY",1602.0,censusreporter:acs2024_5yr,2024
36005007400,"Census Tract 74, Bronx, NY",1429.0,censusreporter:acs2024_5yr,2024
36005007500,"Census Tract 75, Bronx, NY",2430.0,censusreporter:acs2024_5yr,2024
36005007600,"Census Tract 76, Bronx, NY",1822.0,censusreporter:acs2024_5yr,2024
36005007700,"Census Tract 77, Bronx, NY",601.0,censusreporter:acs2024_5yr,2024
36005007800,"Census Tract 78, Bronx, NY",1932.0,censusreporter:acs2024_5yr,2024
36005007900,"Census Tract 79, Bronx, NY",2225.0,censusreporter:acs2024_5yr,2024
36005008300,"Census Tract 83, Bronx, NY",2213.0,censusreporter:acs2024_5yr,2024
36005008400,"Census Tract 84, Bronx, NY",1023.0,censusreporter:acs2024_5yr,2024
36005008500,"Census Tract 85, Bronx, NY",2189.0,censusreporter:acs2024_5yr,2024
36005008600,"Census Tract 86, Bronx, NY",1550.0,censusreporter:acs2024_5yr,2024
36005008700,"Census Tract 87, Bronx, NY",2091.0,censusreporter:acs2024_5yr,2024
36005008900,"Census Tract 89, Bronx, NY",1346.0,censusreporter:acs2024_5yr,2024
36005009000,"Census Tract 90, Bronx, NY",1281.0,censusreporter:acs2024_5yr,2024
36005009200,"Census Tract 92, Bronx, NY",1872.0,censusreporter:acs2024_5yr,2024
36005009301,"Census Tract 93.01, Bronx, NY",1912.0,censusreporter:acs2024_5yr,2024
36005009302,"Census Tract 93.02, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005009600,"Census Tract 96, Bronx, NY",818.0,censusreporter:acs2024_5yr,2024
36005009800,"Census Tract 98, Bronx, NY",1669.0,censusreporter:acs2024_5yr,2024
36005011000,"Census Tract 110, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005011502,"Census Tract 115.02, Bronx, NY",1513.0,censusreporter:acs2024_5yr,2024
36005011701,"Census Tract 117.01, Bronx, NY",474.0,censusreporter:acs2024_5yr,2024
36005011702,"Census Tract 117.02, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005011800,"Census Tract 118, Bronx, NY",1517.0,censusreporter:acs2024_5yr,2024
36005011900,"Census Tract 119, Bronx, NY",1875.0,censusreporter:acs2024_5yr,2024
36005012101,"Census Tract 121.01, Bronx, NY",1057.0,censusreporter:acs2024_5yr,2024
36005012102,"Census Tract 121.02, Bronx, NY",572.0,censusreporter:acs2024_5yr,2024
36005012300,"Census Tract 123, Bronx, NY",1772.0,censusreporter:acs2024_5yr,2024
36005012500,"Census Tract 125, Bronx, NY",1449.0,censusreporter:acs2024_5yr,2024
36005012701,"Census Tract 127.01, Bronx, NY",745.0,censusreporter:acs2024_5yr,2024
36005012901,"Census Tract 129.01, Bronx, NY",1744.0,censusreporter:acs2024_5yr,2024
36005013000,"Census Tract 130, Bronx, NY",472.0,censusreporter:acs2024_5yr,2024
36005013100,"Census Tract 131, Bronx, NY",2225.0,censusreporter:acs2024_5yr,2024
36005013200,"Census Tract 132, Bronx, NY",2605.0,censusreporter:acs2024_5yr,2024
36005013300,"Census Tract 133, Bronx, NY",2269.0,censusreporter:acs2024_5yr,2024
36005013500,"Census Tract 135, Bronx, NY",1534.0,censusreporter:acs2024_5yr,2024
36005013800,"Census Tract 138, Bronx, NY",1255.0,censusreporter:acs2024_5yr,2024
36005014100,"Census Tract 141, Bronx, NY",3034.0,censusreporter:acs2024_5yr,2024
36005014300,"Census Tract 143, Bronx, NY",743.0,censusreporter:acs2024_5yr,2024
36005014400,"Census Tract 144, Bronx, NY",2428.0,censusreporter:acs2024_5yr,2024
36005014500,"Census Tract 145, Bronx, NY",2433.0,censusreporter:acs2024_5yr,2024
36005014701,"Census Tract 147.01, Bronx, NY",2009.0,censusreporter:acs2024_5yr,2024
36005014702,"Census Tract 147.02, Bronx, NY",1924.0,censusreporter:acs2024_5yr,2024
36005014900,"Census Tract 149, Bronx, NY",1546.0,censusreporter:acs2024_5yr,2024
36005015100,"Census Tract 151, Bronx, NY",2117.0,censusreporter:acs2024_5yr,2024
