NAME,B11001_001E,state,county,tract,GEOID,year
"Census Tract 1, Bronx County, New York",0,36,005,000100,36005000100,2021
"Census Tract 2, Bronx County, New York",1392,36,005,000200,36005000200,2021
"Census Tract 4, Bronx County, New York",2199,36,005,000400,36005000400,2021
"Census Tract 16, Bronx County, New York",2187,36,005,001600,36005001600,2021
"Census Tract 19.01, Bronx County, New York",885,36,005,001901,36005001901,2021
"Census Tract 19.02, Bronx County, New York",376,36,005,001902,36005001902,2021
"Census Tract 19.03, Bronx County, New York",0,36,005,001903,36005001903,2021
"Census Tract 19.04, Bronx County, New York",0,36,005,001904,36005001904,2021
"Census Tract 20.01, Bronx County, New York",1759,36,005,002001,36005002001,2021
"Census Tract 20.02, Bronx County, New York",1904,36,005,002002,36005002002,2021
"Census Tract 23, Bronx County, New York",1918,36,005,002300,36005002300,2021
"Census Tract 24, Bronx County, New York",0,36,005,002400,36005002400,2021
"Census Tract 25, Bronx County, New York",1919,36,005,002500,36005002500,2021
"Census Tract 27.01, Bronx County, New York",1119,36,005,002701,36005002701,2021
"Census Tract 27.02, Bronx County, New York",1524,36,005,002702,36005002702,2021
"Census Tract 28, Bronx County, New York",2451,36,005,002800,36005002800,2021
"Census Tract 31, Bronx County, New York",893,36,005,003100,36005003100,2021
"Census Tract 33, Bronx County, New York",1237,36,005,003300,36005003300,2021
"Census Tract 35, Bronx County, New York",1469,36,005,003500,36005003500,2021
"Census Tract 37, Bronx County, New York",158,36,005,003700,36005003700,2021
"Census Tract 38, Bronx County, New York",343,36,005,003800,36005003800,2021
"Census Tract 39, Bronx County, New York",2264,36,005,003900,36005003900,2021
"Census Tract 40.01, Bronx County, New York",497,36,005,004001,36005004001,2021
"Census Tract 41, Bronx County, New York",2318,36,005,004100,36005004100,2021
"Census Tract 42, Bronx County, New York",2856,36,005,004200,36005004200,2021
"Census Tract 43, Bronx County, New York",2179,36,005,004300,36005004300,2021
"Census Tract 44, Bronx County, New York",1616,36,005,004400,36005004400,2021
"Census Tract 46, Bronx County, New York",658,36,005,004600,36005004600,2021
"Census Tract 48, Bronx County, New York",1504,36,005,004800,36005004800,2021
"Census Tract 50.01, Bronx County, New York",1328,36,005,005001,36005005001,2021
"Census Tract 50.02, Bronx County, New York",1946,36,005,005002,36005005002,2021
"Census Tract 51, Bronx County, New York",2186,36,005,005100,36005005100,2021
"Census Tract 52, Bronx County, New York",825,36,005,005200,36005005200,2021
"Census Tract 53, Bronx County, New York",1664,36,005,005300,36005005300,2021
"Census Tract 54, Bronx County, New York",1736,36,005,005400,36005005400,2021
"Census Tract 56, Bronx County, New York",883,36,005,005600,36005005600,2021
"Census Tract 59.02, Bronx County, New York",1172,36,005,005902,36005005902,2021
"Census Tract 60, Bronx County, New York",380,36,005,006000,36005006000,2021
"Census Tract 61, Bronx County, New York",2059,36,005,006100,36005006100,2021
"Census Tract 62, Bronx County, New York",2550,36,005,006200,36005006200,2021
"Census Tract 63.01, Bronx County, New York",2110,36,005,006301,36005006301,2021
"Census Tract 63.02, Bronx County, New York",0,36,005,006302,36005006302,2021
"Census Tract 64, Bronx County, New York",1329,36,005,006400,36005006400,2021
"Census Tract 65, Bronx County, New York",2055,36,005,006500,36005006500,2021
"Census Tract 67, Bronx County, New York",2571,36,005,006700,36005006700,2021
"Census Tract 68, Bronx County, New York",944,36,005,006800,36005006800,2021
"Census Tract 69, Bronx County, New York",2897,36,005,006900,36005006900,2021
"Census Tract 70, Bronx County, New York",1248,36,005,007000,36005007000,2021
"Census Tract 71, Bronx County, New York",1091,36,005,007100,36005007100,2021
"Census Tract 72, Bronx County, New York",1689,36,005,007200,36005007200,2021
"Census Tract 73, Bronx County, New York",1483,36,005,007300,36005007300,2021
"Census Tract 74, Bronx County, New York",1285,36,005,007400,36005007400,2021
"Census Tract 75, Bronx County, New York",2267,36,005,007500,36005007500,2021
"Census Tract 76, Bronx County, New York",1829,36,005,007600,36005007600,2021
"Census Tract 77, Bronx County, New York",570,36,005,007700,36005007700,2021
"Census Tract 78, Bronx County, New York",1952,36,005,007800,36005007800,2021
"Census Tract 79, Bronx County, New York",2328,36,005,007900,36005007900,2021
"Census Tract 83, Bronx County, New York",2270,36,005,008300,36005008300,2021
"Census Tract 84, Bronx County, New York",996,36,005,008400,36005008400,2021
"Census Tract 85, Bronx County, New York",2142,36,005,008500,36005008500,2021
"Census Tract 86, Bronx County, New York",1585,36,005,008600,36005008600,2021
"Census Tract 87, Bronx County, New York",2038,36,005,008700,36005008700,2021
"Census Tract 89, Bronx County, New York",1227,36,005,008900,36005008900,2021
"Census Tract 90, Bronx County, New York",1244,36,005,009000,36005009000,2021
"Census Tract 92, Bronx County, New York",1841,36,005,009200,36005009200,2021
"Census Tract 93.01, Bronx County, New York",1773,36,005,009301,36005009301,2021
"Census Tract 93.02, Bronx County, New York",0,36,005,009302,36005009302,2021
"Census Tract 96, Bronx County, New York",861,36,005,009600,36005009600,2021
"Census Tract 98, Bronx County, New York",1607,36,005,009800,36005009800,2021
"Census Tract 110, Bronx County, New York",0,36,005,011000,36005011000,2021
"Census Tract 115.02, Bronx County, New York",1377,36,005,011502,36005011502,2021
"Census Tract 117.01, Bronx County, New York",499,36,005,011701,36005011701,2021
"Census Tract 117.02, Bronx County, New York",0,36,005,011702,36005011702,2021
"Census Tract 118, Bronx County, New York",1594,36,005,011800,36005011800,2021
"Census Tract 119, Bronx County, New York",1942,36,005,011900,36005011900,2021
"Census Tract 121.01, Bronx County, New York",994,36,005,012101,36005012101,2021
"Census Tract 121.02, Bronx County, New York",580,36,005,012102,36005012102,2021
"Census Tract 123, Bronx County, New York",1610,36,005,012300,36005012300,2021
"Census Tract 125, Bronx County, New York",1312,36,005,012500,36005012500,2021
"Census Tract 127.01, Bronx County, New York",756,36,005,012701,36005012701,2021
"Census Tract 129.01, Bronx County, New York",1649,36,005,012901,36005012901,2021
"Census Tract 130, Bronx County, New York",456,36,005,013000,36005013000,2021
"Census Tract 131, Bronx County, New York",2080,36,005,013100,36005013100,2021
"Census Tract 132, Bronx County, New York",2600,36,005,013200,36005013200,2021
"Census Tract 133, Bronx County, New York",2257,36,005,013300,36005013300,2021
"Census Tract 135, Bronx County, New York",1469,36,005,013500,36005013500,2021
"Census Tract 138, Bronx County, New York",1165,36,005,013800,36005013800,2021
"Census Tract 141, Bronx County, New York",2599,36,005,014100,36005014100,2021
"Census Tract 143, Bronx County, New York",675,36,005,014300,36005014300,2021
"Census Tract 144, Bronx County, New York",2422,36,005,014400,36005014400,2021
"Census Tract 145, Bronx County, New York",2418,36,005,014500,36005014500,2021
"Census Tract 147.01, Bronx County, New York",2026,36,005,014701,36005014701,2021
"Census Tract 147.02, Bronx County, New York",1933,36,005,014702,36005014702,2021
"Census Tract 149, Bronx County, New York",1442,36,005,014900,36005014900,2021
"Census Tract 151, Bronx County, New York",2124,36,005,015100,36005015100,2021
"Census Tract 152, Bronx County, New York",953,36,005,015200,36005015200,2021
"Census Tract 153, Bronx County, New York",1741,36,005,015300,36005015300,2021
"Census Tract 155, Bronx County, New York",1089,36,005,015500,36005015500,2021
"Census Tract 157, Bronx County, New York",1906,36,005,015700,36005015700,2021
"Census Tract 158, Bronx County, New York",476,36,005,015800,36005015800,2021
"Census Tract 159, Bronx County, New York",816,36,005,015900,36005015900,2021
"Census Tract 160, Bronx County, New York",1493,36,005,016000,36005016000,2021
"Census Tract 161, Bronx County, New York",2004,36,005,016100,36005016100,2021
"Census Tract 162, Bronx County, New York",510,36,005,016200,36005016200,2021
"Census Tract 163, Bronx County, New York",0,36,005,016300,36005016300,2021
"Census Tract 164, Bronx County, New York",399,36,005,016400,36005016400,2021
"Census Tract 165, Bronx County, New York",319,36,005,016500,36005016500,2021
"Census Tract 166, Bronx County, New York",809,36,005,016600,36005016600,2021
"Census Tract 167, Bronx County, New York",1150,36,005,016700,36005016700,2021
"Census Tract 169, Bronx County, New York",554,36,005,016900,36005016900,2021
"Census Tract 171, Bronx County, New York",0,36,005,017100,36005017100,2021
"Census Tract 173, Bronx County, New York",2169,36,005,017300,36005017300,2021
"Census Tract 175, Bronx County, New York",2845,36,005,017500,36005017500,2021
"Census Tract 177.01, Bronx County, New York",1352,36,005,017701,36005017701,2021
"Census Tract 177.02, Bronx County, New York",1676,36,005,017702,36005017702,2021
"Census Tract 179.01, Bronx County, New York",1619,36,005,017901,36005017901,2021
"Census Tract 179.02, Bronx County, New York",1305,36,005,017902,36005017902,2021
"Census Tract 181.01, Bronx County, New York",1064,36,005,018101,36005018101,2021
"Census Tract 181.02, Bronx County, New York",2177,36,005,018102,36005018102,2021
"Census Tract 183.01, Bronx County, New York",2072,36,005,018301,36005018301,2021
"Census Tract 183.02, Bronx County, New York",1411,36,005,018302,36005018302,2021
"Census Tract 184, Bronx County, New York",1430,36,005,018400,36005018400,2021
"Census Tract 185.01, Bronx County, New York",1136,36,005,018501,36005018501,2021
"Census Tract 185.02, Bronx County, New York",2038,36,005,018502,36005018502,2021
"Census Tract 189, Bronx County, New York",2836,36,005,018900,36005018900,2021
"Census Tract 193, Bronx County, New York",2402,36,005,019300,36005019300,2021
"Census Tract 194, Bronx County, New York",764,36,005,019400,36005019400,2021
"Census Tract 195, Bronx County, New York",2623,36,005,019500,36005019500,2021
"Census Tract 197, Bronx County, New York",2446,36,005,019700,36005019700,2021
"Census Tract 199, Bronx County, New York",3256,36,005,019900,36005019900,2021
"Census Tract 200, Bronx County, New York",1454,36,005,020000,36005020000,2021
"Census Tract 201, Bronx County, New York",1310,36,005,020100,36005020100,2021
"Census Tract 202, Bronx County, New York",946,36,005,020200,36005020200,2021
"Census Tract 204, Bronx County, New York",1043,36,005,020400,36005020400,2021
"Census Tract 205.01, Bronx County, New York",2663,36,005,020501,36005020501,2021
"Census Tract 205.02, Bronx County, New York",1008,36,005,020502,36005020502,2021
"Census Tract 206.01, Bronx County, New York",950,36,005,020601,36005020601,2021
"Census Tract 209, Bronx County, New York",1947,36,005,020900,36005020900,2021
"Census Tract 210.01, Bronx County, New York",3670,36,005,021001,36005021001,2021
"Census Tract 210.02, Bronx County, New York",3278,36,005,021002,36005021002,2021
"Census Tract 211, Bronx County, New York",1971,36,005,021100,36005021100,2021
"Census Tract 212, Bronx County, New York",2349,36,005,021200,36005021200,2021
"Census Tract 213.01, Bronx County, New York",452,36,005,021301,36005021301,2021
"Census Tract 213.02, Bronx County, New York",2276,36,005,021302,36005021302,2021
"Census Tract 215.01, Bronx County, New York",1324,36,005,021501,36005021501,2021
"Census Tract 215.02, Bronx County, New York",2165,36,005,021502,36005021502,2021
"Census Tract 216.01, Bronx County, New York",1613,36,005,021601,36005021601,2021
"Census Tract 216.02, Bronx County, New York",2393,36,005,021602,36005021602,2021
"Census Tract 217, Bronx County, New York",1687,36,005,021700,36005021700,2021
"Census Tract 218, Bronx County, New York",2230,36,005,021800,36005021800,2021
"Census Tract 219, Bronx County, New York",381,36,005,021900,36005021900,2021
"Census Tract 220, Bronx County, New York",651,36,005,022000,36005022000,2021
"Census Tract 221.01, Bronx County, New York",1266,36,005,022101,36005022101,2021
"Census Tract 221.02, Bronx County, New York",1662,36,005,022102,36005022102,2021
"Census Tract 222, Bronx County, New York",1041,36,005,022200,36005022200,2021
"Census Tract 223, Bronx County, New York",2182,36,005,022300,36005022300,2021
"Census Tract 224.01, Bronx County, New York",1023,36,005,022401,36005022401,2021
"Census Tract 224.03, Bronx County, New York",1212,36,005,022403,36005022403,2021
"Census Tract 224.04, Bronx County, New York",1977,36,005,022404,36005022404,2021
"Census Tract 225, Bronx County, New York",2322,36,005,022500,36005022500,2021
"Census Tract 227.01, Bronx County, New York",1986,36,005,022701,36005022701,2021
"Census Tract 227.02, Bronx County, New York",560,36,005,022702,36005022702,2021
"Census Tract 227.03, Bronx County, New York",690,36,005,022703,36005022703,2021
"Census Tract 228, Bronx County, New York",2433,36,005,022800,36005022800,2021
"Census Tract 229.01, Bronx County, New York",1988,36,005,022901,36005022901,2021
"Census Tract 229.02, Bronx County, New York",1132,36,005,022902,36005022902,2021
"Census Tract 230, Bronx County, New York",1039,36,005,023000,36005023000,2021
"Census Tract 231, Bronx County, New York",432,36,005,023100,36005023100,2021
"Census Tract 232, Bronx County, New York",801,36,005,023200,36005023200,2021
"Census Tract 233.01, Bronx County, New York",1649,36,005,023301,36005023301,2021
"Census Tract 233.02, Bronx County, New York",1016,36,005,023302,36005023302,2021
"Census Tract 235.01, Bronx County, New York",1230,36,005,023501,36005023501,2021
"Census Tract 235.02, Bronx County, New York",1566,36,005,023502,36005023502,2021
"Census Tract 236, Bronx County, New York",516,36,005,023600,36005023600,2021
"Census Tract 237.02, Bronx County, New York",375,36,005,023702,36005023702,2021
"Census Tract 237.03, Bronx County, New York",1765,36,005,023703,36005023703,2021
"Census Tract 237.04, Bronx County, New York",1343,36,005,023704,36005023704,2021
"Census Tract 238, Bronx County, New York",749,36,005,023800,36005023800,2021
"Census Tract 239, Bronx County, New York",2492,36,005,023900,36005023900,2021
"Census Tract 240, Bronx County, New York",1348,36,005,024000,36005024000,2021
