GEOID,NAME,source,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,n_low,n_mid,n_high,n_i_sum,year
36005000100,"Census Tract 1, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005000200,"Census Tract 2, Bronx, NY",censusreporter:acs2024_5yr,1416.0,65.0,27.0,0.0,43.0,0.0,96.0,0.0,0.0,0.0,43.0,112.0,181.0,233.0,155.0,136.0,325.0,135.0,96.0,1185.0,1416.0,2024
36005000400,"Census Tract 4, Bronx, NY",censusreporter:acs2024_5yr,2218.0,94.0,89.0,23.0,19.0,11.0,21.0,21.0,53.0,53.0,243.0,74.0,346.0,242.0,54.0,662.0,213.0,225.0,159.0,1834.0,2218.0,2024
36005001600,"Census Tract 16, Bronx, NY",censusreporter:acs2024_5yr,2083.0,149.0,145.0,97.0,161.0,92.0,40.0,149.0,88.0,81.0,169.0,165.0,277.0,112.0,83.0,73.0,202.0,552.0,450.0,1081.0,2083.0,2024
36005001901,"Census Tract 19.01, Bronx, NY",censusreporter:acs2024_5yr,1149.0,73.0,53.0,130.0,77.0,45.0,87.0,18.0,12.0,43.0,48.0,121.0,81.0,155.0,30.0,50.0,126.0,333.0,205.0,611.0,1149.0,2024
36005001902,"Census Tract 19.02, Bronx, NY",censusreporter:acs2024_5yr,624.0,147.0,19.0,8.0,36.0,0.0,0.0,0.0,32.0,101.0,0.0,55.0,41.0,0.0,24.0,139.0,22.0,210.0,133.0,281.0,624.0,2024
36005001903,"Census Tract 19.03, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005001904,"Census Tract 19.04, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005002001,"Census Tract 20.01, Bronx, NY",censusreporter:acs2024_5yr,1729.0,291.0,343.0,200.0,117.0,156.0,0.0,57.0,181.0,17.0,35.0,101.0,129.0,39.0,63.0,0.0,0.0,951.0,411.0,367.0,1729.0,2024
36005002002,"Census Tract 20.02, Bronx, NY",censusreporter:acs2024_5yr,1808.0,211.0,516.0,291.0,74.0,31.0,0.0,0.0,73.0,64.0,21.0,0.0,231.0,80.0,196.0,0.0,20.0,1092.0,168.0,548.0,1808.0,2024
