NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 1, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,000100,36005000100,2021,0,0,0,0
"Census Tract 2, Bronx County, New York",1392,110,11,52,96,116,44,34,126,0,43,96,114,313,91,39,107,36,005,000200,36005000200,2021,269,320,803,1392
"Census Tract 4, Bronx County, New York",2199,64,43,125,51,0,12,38,74,56,176,173,383,92,367,246,299,36,005,000400,36005000400,2021,283,180,1736,2199
"Census Tract 16, Bronx County, New York",2187,140,154,317,89,120,111,162,94,108,120,270,99,147,64,105,87,36,005,001600,36005001600,2021,700,595,892,2187
"Census Tract 19.01, Bronx County, New York",885,101,68,72,8,18,44,34,27,17,89,59,134,106,0,62,46,36,005,001901,36005001901,2021,249,140,496,885
"Census Tract 19.02, Bronx County, New York",376,53,10,4,3,13,28,17,0,11,40,80,13,25,35,4,40,36,005,001902,36005001902,2021,70,69,237,376
"Census Tract 19.03, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001903,36005001903,2021,0,0,0,0
"Census Tract 19.04, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2021,0,0,0,0
"Census Tract 20.01, Bronx County, New York",1759,567,205,72,173,51,141,54,10,45,121,200,48,72,0,0,0,36,005,002001,36005002001,2021,1017,301,441,1759
"Census Tract 20.02, Bronx County, New York",1904,231,471,231,13,0,0,73,0,115,5,108,370,85,90,56,56,36,005,002002,36005002002,2021,946,188,770,1904
"Census Tract 23, Bronx County, New York",1918,416,313,149,148,95,88,105,27,141,194,74,91,36,0,41,0,36,005,002300,36005002300,2021,1026,456,436,1918
"Census Tract 24, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,002400,36005002400,2021,0,0,0,0
"Census Tract 25, Bronx County, New York",1919,563,168,82,132,65,145,74,144,66,152,216,6,46,60,0,0,36,005,002500,36005002500,2021,945,494,480,1919
"Census Tract 27.01, Bronx County, New York",1119,153,299,169,79,102,54,0,71,61,27,66,0,38,0,0,0,36,005,002701,36005002701,2021,700,288,131,1119
"Census Tract 27.02, Bronx County, New York",1524,454,327,30,43,85,178,29,63,47,30,30,150,48,8,0,2,36,005,002702,36005002702,2021,854,402,268,1524
"Census Tract 28, Bronx County, New York",2451,59,68,51,122,89,140,160,208,140,318,267,419,142,136,132,0,36,005,002800,36005002800,2021,300,737,1414,2451
"Census Tract 31, Bronx County, New York",893,36,9,26,79,78,224,33,32,43,58,29,142,25,61,18,0,36,005,003100,36005003100,2021,150,410,333,893
