NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 1; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,000100,36005000100,2022,0,0,0,0
Census Tract 2; Bronx County; New York,1425,35,0,45,41,125,42,28,0,43,62,67,220,259,139,119,200,36,005,000200,36005000200,2022,121,238,1066,1425
Census Tract 4; Bronx County; New York,2309,63,112,93,10,9,0,37,46,168,236,187,182,225,189,483,269,36,005,000400,36005000400,2022,278,260,1771,2309
Census Tract 16; Bronx County; New York,2205,164,165,60,280,65,161,159,89,74,201,306,58,177,82,57,107,36,005,001600,36005001600,2022,669,548,988,2205
Census Tract 19.01; Bronx County; New York,940,84,82,35,28,34,94,35,70,10,61,57,124,83,17,55,71,36,005,001901,36005001901,2022,229,243,468,940
Census Tract 19.02; Bronx County; New York,468,45,17,12,16,14,18,9,26,0,44,70,5,36,0,110,46,36,005,001902,36005001902,2022,90,67,311,468
Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001903,36005001903,2022,0,0,0,0
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2022,0,0,0,0
Census Tract 20.01; Bronx County; New York,1774,360,345,25,168,186,79,119,13,0,40,222,139,0,78,0,0,36,005,002001,36005002001,2022,898,397,479,1774
Census Tract 20.02; Bronx County; New York,1868,151,618,211,49,0,0,0,74,0,128,3,266,191,27,42,108,36,005,002002,36005002002,2022,1029,74,765,1868
Census Tract 23; Bronx County; New York,1923,603,250,119,123,56,101,143,31,74,135,116,28,108,0,20,16,36,005,002300,36005002300,2022,1095,405,423,1923
Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,002400,36005002400,2022,0,0,0,0
Census Tract 25; Bronx County; New York,1944,440,168,98,110,171,80,128,47,94,187,150,80,26,95,70,0,36,005,002500,36005002500,2022,816,520,608,1944
Census Tract 27.01; Bronx County; New York,1159,210,217,96,125,102,22,67,0,77,36,56,65,79,7,0,0,36,005,002701,36005002701,2022,648,268,243,1159
Census Tract 27.02; Bronx County; New York,1530,334,203,105,50,107,125,55,115,0,142,0,123,89,27,0,55,36,005,002702,36005002702,2022,692,402,436,1530
Census Tract 28; Bronx County; New York,2542,48,44,36,44,40,158,189,110,225,330,206,592,199,95,117,109,36,005,002800,36005002800,2022,172,722,1648,2542
Census Tract 31; Bronx County; New York,1031,66,0,47,23,110,224,0,92,35,33,125,109,71,61,35,0,36,005,003100,36005003100,2022,136,461,434,1031
Census Tract 33; Bronx County; New York,1220,308,147,107,74,88,0,96,99,37,59,8,111,31,0,55,0,36,005,003300,36005003300,2022,636,320,264,1220
Census Tract 35; Bronx County; New York,1478,152,134,86,82,43,329,32,28,82,138,42,118,42,67,72,31,36,005,003500,36005003500,2022,454,514,510,1478
Census Tract 37; Bronx County; New York,188,59,24,0,0,0,0,25,0,0,50,30,0,0,0,0,0,36,005,003700,36005003700,2022,83,25,80,188
Census Tract 38; Bronx County; New York,366,23,29,21,35,9,0,11,31,0,0,21,28,73,56,10,19,36,005,003800,36005003800,2022,108,51,207,366
Census Tract 39; Bronx County; New York,2330,384,545,193,168,18,149,0,124,0,167,30,21,133,162,48,188,36,005,003900,36005003900,2022,1290,291,749,2330
Census Tract 40.01; Bronx County; New York,529,21,0,12,22,25,0,41,12,30,12,108,89,29,47,12,69,36,005,004001,36005004001,2022,55,108,366,529
Census Tract 41; Bronx County; New York,2444,221,415,327,232,88,125,281,0,114,91,187,165,45,77,0,76,36,005,004100,36005004100,2022,1195,608,641,2444
Census Tract 42; Bronx County; New York,2922,223,309,105,207,192,46,130,41,82,130,250,434,543,97,133,0,36,005,004200,36005004200,2022,844,491,1587,2922
Census Tract 43; Bronx County; New York,2213,267,396,133,102,67,146,36,50,123,112,218,185,132,63,147,36,36,005,004300,36005004300,2022,898,422,893,2213
Census Tract 44; Bronx County; New York,1610,467,210,171,167,10,66,44,107,44,43,23,83,77,12,86,0,36,005,004400,36005004400,2022,1015,271,324,1610
Census Tract 46; Bronx County; New York,672,112,214,42,17,16,37,51,7,0,15,34,38,22,53,14,0,36,005,004600,36005004600,2022,385,111,176,672
Census Tract 48; Bronx County; New York,1523,270,120,115,132,61,82,9,9,94,90,60,234,179,2,20,46,36,005,004800,36005004800,2022,637,255,631,1523
Census Tract 50.01; Bronx County; New York,1377,234,84,68,115,79,118,105,82,75,57,99,48,92,17,96,8,36,005,005001,36005005001,2022,501,459,417,1377
Census Tract 50.02; Bronx County; New York,1936,257,160,195,87,95,135,67,56,83,176,200,222,117,12,13,61,36,005,005002,36005005002,2022,699,436,801,1936
Census Tract 51; Bronx County; New York,2360,309,212,437,394,139,190,106,154,171,0,107,141,0,0,0,0,36,005,005100,36005005100,2022,1352,760,248,2360
Census Tract 52; Bronx County; New York,820,138,104,76,42,57,29,26,56,13,87,82,48,28,5,18,11,36,005,005200,36005005200,2022,360,181,279,820
Census Tract 53; Bronx County; New York,1634,164,244,165,194,204,159,68,55,61,96,143,67,0,0,14,0,36,005,005300,36005005300,2022,767,547,320,1634
Census Tract 54; Bronx County; New York,1781,281,113,74,63,99,38,95,69,72,189,245,157,75,98,44,69,36,005,005400,36005005400,2022,531,373,877,1781
Census Tract 56; Bronx County; New York,953,108,179,53,20,48,18,57,33,50,30,72,74,27,62,18,104,36,005,005600,36005005600,2022,360,206,387,953
Census Tract 59.02; Bronx County; New York,1247,71,127,66,67,147,35,59,32,51,75,77,232,28,22,127,31,36,005,005902,36005005902,2022,331,324,592,1247
Census Tract 60; Bronx County; New York,375,25,32,46,5,21,7,9,33,15,41,17,26,41,13,21,23,36,005,006000,36005006000,2022,108,85,182,375
Census Tract 61; Bronx County; New York,1943,141,52,20,166,4,26,54,38,29,280,226,580,79,84,124,40,36,005,006100,36005006100,2022,379,151,1413,1943
Census Tract 62; Bronx County; New York,2543,422,164,270,280,122,228,53,298,15,100,260,163,0,114,0,54,36,005,006200,36005006200,2022,1136,716,691,2543
Census Tract 63.01; Bronx County; New York,2303,136,205,139,50,155,79,77,36,148,253,73,202,235,91,46,378,36,005,006301,36005006301,2022,530,495,1278,2303
Census Tract 63.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,006302,36005006302,2022,0,0,0,0
Census Tract 64; Bronx County; New York,1383,357,92,52,209,19,25,32,120,23,35,104,112,72,37,56,38,36,005,006400,36005006400,2022,710,219,454,1383
Census Tract 65; Bronx County; New York,2157,504,264,187,375,133,83,66,56,25,11,147,66,181,43,0,16,36,005,006500,36005006500,2022,1330,363,464,2157
Census Tract 67; Bronx County; New York,2586,368,730,262,190,181,30,261,0,94,36,92,119,0,146,77,0,36,005,006700,36005006700,2022,1550,566,470,2586
Census Tract 68; Bronx County; New York,907,129,66,125,49,85,68,85,11,26,44,45,109,21,0,42,2,36,005,006800,36005006800,2022,369,275,263,907
Census Tract 69; Bronx County; New York,2889,668,542,95,0,164,0,62,43,330,151,217,293,133,70,18,103,36,005,006900,36005006900,2022,1305,599,985,2889
Census Tract 70; Bronx County; New York,1294,243,108,67,14,62,54,22,17,23,68,93,192,68,116,100,47,36,005,007000,36005007000,2022,432,178,684,1294
Census Tract 71; Bronx County; New York,1256,199,103,0,26,119,69,45,69,95,48,76,92,53,105,101,56,36,005,007100,36005007100,2022,328,397,531,1256
Census Tract 72; Bronx County; New York,1651,143,123,24,71,72,48,26,109,6,136,163,191,192,131,14,202,36,005,007200,36005007200,2022,361,261,1029,1651
Census Tract 73; Bronx County; New York,1535,389,91,141,29,196,129,59,204,0,75,38,63,34,23,64,0,36,005,007300,36005007300,2022,650,588,297,1535
Census Tract 74; Bronx County; New York,1341,101,69,71,34,132,42,47,121,33,144,55,128,148,89,94,33,36,005,007400,36005007400,2022,275,375,691,1341
Census Tract 75; Bronx County; New York,2391,409,347,162,85,25,202,102,94,59,260,156,102,198,38,60,92,36,005,007500,36005007500,2022,1003,482,906,2391
Census Tract 76; Bronx County; New York,1868,207,143,78,89,135,58,99,15,68,140,197,212,157,56,135,79,36,005,007600,36005007600,2022,517,375,976,1868
Census Tract 77; Bronx County; New York,570,34,56,10,20,33,15,12,67,50,52,12,65,53,79,12,0,36,005,007700,36005007700,2022,120,177,273,570
Census Tract 78; Bronx County; New York,1939,168,236,51,32,92,91,0,104,29,141,206,51,120,245,248,125,36,005,007800,36005007800,2022,487,316,1136,1939
Census Tract 79; Bronx County; New York,2332,601,240,194,0,30,120,131,164,47,255,109,106,158,96,81,0,36,005,007900,36005007900,2022,1035,492,805,2332
Census Tract 83; Bronx County; New York,2317,125,250,44,124,28,131,193,146,20,281,128,321,186,31,262,47,36,005,008300,36005008300,2022,543,518,1256,2317
Census Tract 84; Bronx County; New York,993,17,8,0,43,17,10,200,0,36,153,134,96,76,53,67,83,36,005,008400,36005008400,2022,68,263,662,993
Census Tract 85; Bronx County; New York,2148,312,185,257,57,150,134,43,79,72,86,78,436,130,36,27,66,36,005,008500,36005008500,2022,811,478,859,2148
Census Tract 86; Bronx County; New York,1591,377,243,119,95,126,23,0,107,137,123,69,108,12,0,40,12,36,005,008600,36005008600,2022,834,393,364,1591
Census Tract 87; Bronx County; New York,2088,269,122,222,223,86,62,182,97,121,46,237,111,76,141,33,60,36,005,008700,36005008700,2022,836,548,704,2088
Census Tract 89; Bronx County; New York,1294,77,149,84,102,116,36,26,173,62,123,67,122,81,0,58,18,36,005,008900,36005008900,2022,412,413,469,1294
Census Tract 90; Bronx County; New York,1247,200,223,15,50,86,93,93,51,9,200,58,23,10,18,100,18,36,005,009000,36005009000,2022,488,332,427,1247
Census Tract 92; Bronx County; New York,1856,122,107,48,41,179,173,123,21,42,181,166,229,145,50,132,97,36,005,009200,36005009200,2022,318,538,1000,1856
Census Tract 93.01; Bronx County; New York,1876,178,105,165,81,94,19,77,122,163,224,111,134,35,47,232,89,36,005,009301,36005009301,2022,529,475,872,1876
Census Tract 93.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2022,0,0,0,0
Census Tract 96; Bronx County; New York,876,163,70,39,27,12,22,22,12,23,96,79,99,72,39,66,35,36,005,009600,36005009600,2022,299,91,486,876
Census Tract 98; Bronx County; New York,1638,143,53,116,54,24,38,114,51,56,250,19,176,292,139,66,47,36,005,009800,36005009800,2022,366,283,989,1638
Census Tract 110; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011000,36005011000,2022,0,0,0,0
Census Tract 115.02; Bronx County; New York,1439,229,165,125,121,142,48,57,25,64,123,86,45,79,96,7,27,36,005,011502,36005011502,2022,640,336,463,1439
Census Tract 117.01; Bronx County; New York,493,96,78,0,26,25,31,0,77,0,45,27,51,0,29,8,0,36,005,011701,36005011701,2022,200,133,160,493
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2022,0,0,0,0
Census Tract 118; Bronx County; New York,1501,65,12,53,28,89,27,0,28,81,62,73,187,142,111,291,252,36,005,011800,36005011800,2022,158,225,1118,1501
Census Tract 119; Bronx County; New York,1944,230,252,107,109,146,157,128,63,0,77,140,260,32,90,128,25,36,005,011900,36005011900,2022,698,494,752,1944
Census Tract 121.01; Bronx County; New York,1030,111,56,58,31,48,31,25,46,29,117,37,156,71,67,48,99,36,005,012101,36005012101,2022,256,179,595,1030
Census Tract 121.02; Bronx County; New York,522,16,115,20,56,29,0,18,18,20,91,40,28,14,0,57,0,36,005,012102,36005012102,2022,207,85,230,522
Census Tract 123; Bronx County; New York,1699,160,93,120,122,43,113,75,62,85,216,107,225,34,12,57,175,36,005,012300,36005012300,2022,495,378,826,1699
Census Tract 125; Bronx County; New York,1386,129,42,54,117,109,17,0,127,74,106,179,209,30,46,98,49,36,005,012500,36005012500,2022,342,327,717,1386
Census Tract 127.01; Bronx County; New York,780,38,55,84,52,21,39,75,30,46,76,41,63,25,100,35,0,36,005,012701,36005012701,2022,229,211,340,780
Census Tract 129.01; Bronx County; New York,1739,256,234,124,37,13,47,144,131,30,152,71,232,169,96,0,3,36,005,012901,36005012901,2022,651,365,723,1739
Census Tract 130; Bronx County; New York,449,8,5,25,0,75,24,28,13,0,52,38,39,30,14,56,42,36,005,013000,36005013000,2022,38,140,271,449
Census Tract 131; Bronx County; New York,2107,437,335,361,46,41,66,15,168,96,0,168,129,33,134,50,28,36,005,013100,36005013100,2022,1179,386,542,2107
Census Tract 132; Bronx County; New York,2592,232,51,0,85,25,8,49,266,39,48,176,280,205,184,557,387,36,005,013200,36005013200,2022,368,387,1837,2592
Census Tract 133; Bronx County; New York,2272,327,150,108,106,192,315,63,0,45,179,185,295,57,125,91,34,36,005,013300,36005013300,2022,691,615,966,2272
Census Tract 135; Bronx County; New York,1479,250,307,89,68,108,0,160,87,102,131,14,90,0,28,0,45,36,005,013500,36005013500,2022,714,457,308,1479
Census Tract 138; Bronx County; New York,1205,106,32,5,30,9,26,65,38,21,80,138,189,48,68,235,115,36,005,013800,36005013800,2022,173,159,873,1205
Census Tract 141; Bronx County; New York,2836,274,331,241,283,145,110,243,133,103,98,164,354,108,74,119,56,36,005,014100,36005014100,2022,1129,734,973,2836
Census Tract 143; Bronx County; New York,696,220,79,91,26,38,11,49,8,22,50,34,0,26,31,11,0,36,005,014300,36005014300,2022,416,128,152,696
Census Tract 144; Bronx County; New York,2411,507,398,159,78,72,94,241,21,55,121,68,55,334,71,69,68,36,005,014400,36005014400,2022,1142,483,786,2411
Census Tract 145; Bronx County; New York,2418,231,217,250,288,261,127,100,391,0,200,93,131,0,0,127,2,36,005,014500,36005014500,2022,986,879,553,2418
Census Tract 147.01; Bronx County; New York,2064,313,399,196,89,174,102,203,47,267,137,0,0,0,137,0,0,36,005,014701,36005014701,2022,997,793,274,2064
Census Tract 147.02; Bronx County; New York,1934,204,583,113,215,25,109,59,112,97,78,60,243,0,36,0,0,36,005,014702,36005014702,2022,1115,402,417,1934
Census Tract 149; Bronx County; New York,1485,260,139,57,145,21,49,50,166,12,97,100,170,53,11,80,75,36,005,014900,36005014900,2022,601,298,586,1485
Census Tract 151; Bronx County; New York,2088,194,212,135,238,375,131,31,33,0,161,116,298,73,31,33,27,36,005,015100,36005015100,2022,779,570,739,2088
Census Tract 152; Bronx County; New York,987,20,12,36,13,93,33,14,0,30,86,118,147,119,107,54,105,36,005,015200,36005015200,2022,81,170,736,987
Census Tract 153; Bronx County; New York,1753,241,254,25,141,59,111,76,0,39,371,90,117,154,18,32,25,36,005,015300,36005015300,2022,661,285,807,1753
Census Tract 155; Bronx County; New York,1107,116,136,80,49,61,69,87,32,74,124,42,95,35,88,19,0,36,005,015500,36005015500,2022,381,323,403,1107
Census Tract 157; Bronx County; New York,2095,340,187,66,109,219,0,137,141,93,167,223,156,126,60,20,51,36,005,015700,36005015700,2022,702,590,803,2095
Census Tract 158; Bronx County; New York,494,64,10,4,7,22,38,36,4,6,25,72,59,45,17,13,72,36,005,015800,36005015800,2022,85,106,303,494
Census Tract 159; Bronx County; New York,873,104,171,135,30,0,57,43,9,0,30,31,118,71,27,19,28,36,005,015900,36005015900,2022,440,109,324,873
Census Tract 160; Bronx County; New York,1497,23,54,48,64,44,6,21,23,63,49,77,297,118,67,276,267,36,005,016000,36005016000,2022,189,157,1151,1497
Census Tract 161; Bronx County; New York,1957,406,243,153,278,60,56,86,117,40,129,71,117,56,14,131,0,36,005,016100,36005016100,2022,1080,359,518,1957
Census Tract 162; Bronx County; New York,506,18,8,0,15,27,12,0,11,0,25,15,62,76,47,99,91,36,005,016200,36005016200,2022,41,50,415,506
Census Tract 163; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,016300,36005016300,2022,0,0,0,0
Census Tract 164; Bronx County; New York,412,53,42,19,23,0,0,14,8,0,5,66,34,38,26,64,20,36,005,016400,36005016400,2022,137,22,253,412
Census Tract 165; Bronx County; New York,333,13,18,25,43,35,0,16,0,35,31,16,22,32,32,15,0,36,005,016500,36005016500,2022,99,86,148,333
Census Tract 166; Bronx County; New York,829,34,33,16,0,36,11,40,22,11,13,48,98,159,58,161,89,36,005,016600,36005016600,2022,83,120,626,829
Census Tract 167; Bronx County; New York,1150,195,115,42,72,61,32,46,70,0,41,95,97,114,93,58,19,36,005,016700,36005016700,2022,424,209,517,1150
Census Tract 169; Bronx County; New York,564,36,42,34,9,18,46,36,35,19,163,56,21,6,26,7,10,36,005,016900,36005016900,2022,121,154,289,564
Census Tract 171; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,017100,36005017100,2022,0,0,0,0
Census Tract 173; Bronx County; New York,2276,324,403,446,100,0,120,0,40,19,52,276,186,122,29,159,0,36,005,017300,36005017300,2022,1273,179,824,2276
Census Tract 175; Bronx County; New York,2831,495,564,164,86,309,81,131,160,0,210,211,297,42,81,0,0,36,005,017500,36005017500,2022,1309,681,841,2831
Census Tract 177.01; Bronx County; New York,1374,312,249,51,72,0,43,84,62,26,44,80,86,141,0,24,100,36,005,017701,36005017701,2022,684,215,475,1374
Census Tract 177.02; Bronx County; New York,1657,323,14,65,31,64,101,93,119,100,119,119,180,7,93,187,42,36,005,017702,36005017702,2022,433,477,747,1657
Census Tract 179.01; Bronx County; New York,1686,202,67,84,121,34,25,173,32,177,84,125,271,90,127,27,47,36,005,017901,36005017901,2022,474,441,771,1686
Census Tract 179.02; Bronx County; New York,1319,159,179,25,15,17,45,154,111,104,80,84,230,0,26,27,63,36,005,017902,36005017902,2022,378,431,510,1319
Census Tract 181.01; Bronx County; New York,1040,195,110,139,48,13,28,0,0,18,179,48,138,0,81,30,13,36,005,018101,36005018101,2022,492,59,489,1040
Census Tract 181.02; Bronx County; New York,2180,136,497,208,75,83,141,20,65,56,83,259,261,116,99,40,41,36,005,018102,36005018102,2022,916,365,899,2180
Census Tract 183.01; Bronx County; New York,2016,242,134,128,101,69,14,67,120,90,101,166,119,226,184,106,149,36,005,018301,36005018301,2022,605,360,1051,2016
Census Tract 183.02; Bronx County; New York,1460,66,22,176,63,67,0,89,33,73,55,335,170,161,82,68,0,36,005,018302,36005018302,2022,327,262,871,1460
Census Tract 184; Bronx County; New York,1407,84,73,49,0,0,34,29,65,35,78,33,130,252,229,211,105,36,005,018400,36005018400,2022,206,163,1038,1407
Census Tract 185.01; Bronx County; New York,1240,294,188,53,0,0,14,23,40,0,186,329,31,36,0,46,0,36,005,018501,36005018501,2022,535,77,628,1240
Census Tract 185.02; Bronx County; New York,2100,466,385,165,134,208,0,0,107,91,106,145,146,115,0,0,32,36,005,018502,36005018502,2022,1150,406,544,2100
Census Tract 189; Bronx County; New York,2857,395,324,178,140,180,120,11,54,86,202,286,567,117,0,142,55,36,005,018900,36005018900,2022,1037,451,1369,2857
Census Tract 193; Bronx County; New York,2410,280,308,92,86,125,201,182,136,107,24,298,541,30,0,0,0,36,005,019300,36005019300,2022,766,751,893,2410
Census Tract 194; Bronx County; New York,728,69,21,71,10,15,18,48,13,0,55,77,69,91,37,27,107,36,005,019400,36005019400,2022,171,94,463,728
Census Tract 195; Bronx County; New York,2650,406,277,141,200,171,231,115,125,60,235,51,409,134,71,14,10,36,005,019500,36005019500,2022,1024,702,924,2650
Census Tract 197; Bronx County; New York,2513,294,563,56,268,15,62,269,149,65,206,141,177,24,72,96,56,36,005,019700,36005019700,2022,1181,560,772,2513
Census Tract 199; Bronx County; New York,3251,423,49,361,116,588,87,124,0,99,156,500,261,184,38,232,33,36,005,019900,36005019900,2022,949,898,1404,3251
Census Tract 200; Bronx County; New York,1491,198,58,87,58,81,62,21,156,82,132,111,99,90,87,42,127,36,005,020000,36005020000,2022,401,402,688,1491
Census Tract 201; Bronx County; New York,1351,168,104,48,128,95,78,98,67,179,91,41,109,72,0,21,52,36,005,020100,36005020100,2022,448,517,386,1351
Census Tract 202; Bronx County; New York,972,41,57,114,68,19,11,33,31,55,98,141,144,49,49,28,34,36,005,020200,36005020200,2022,280,149,543,972
Census Tract 204; Bronx County; New York,1029,66,51,53,110,37,0,29,0,46,158,104,124,128,42,27,54,36,005,020400,36005020400,2022,280,112,637,1029
Census Tract 205.01; Bronx County; New York,2701,649,602,192,121,205,70,103,74,72,40,33,358,71,0,111,0,36,005,020501,36005020501,2022,1564,524,613,2701
Census Tract 205.02; Bronx County; New York,1048,234,149,33,68,71,10,19,47,24,47,48,33,78,82,47,58,36,005,020502,36005020502,2022,484,171,393,1048
