NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 19.04, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2020,0,0,0,0
"Census Tract 83, Bronx County, New York",2187,341,192,137,105,32,113,182,162,96,60,251,194,92,61,75,94,36,005,008300,36005008300,2020,775,585,827,2187
"Census Tract 85, Bronx County, New York",2128,282,290,214,123,192,139,44,56,54,119,146,230,194,11,0,34,36,005,008500,36005008500,2020,909,485,734,2128
"Census Tract 87, Bronx County, New York",2056,388,216,355,79,122,114,102,118,60,78,130,114,105,45,10,20,36,005,008700,36005008700,2020,1038,516,502,2056
"Census Tract 89, Bronx County, New York",1217,145,130,141,205,65,18,57,70,8,113,12,130,71,28,15,9,36,005,008900,36005008900,2020,621,218,378,1217
"Census Tract 93.01, Bronx County, New York",1684,224,180,164,115,17,14,165,176,38,108,123,168,42,42,108,0,36,005,009301,36005009301,2020,683,410,591,1684
"Census Tract 93.02, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2020,0,0,0,0
"Census Tract 115.02, Bronx County, New York",1348,220,271,150,96,125,58,23,16,120,54,24,126,30,6,0,29,36,005,011502,36005011502,2020,737,342,269,1348
"Census Tract 117.01, Bronx County, New York",474,108,33,14,79,0,0,35,16,22,59,20,72,6,0,10,0,36,005,011701,36005011701,2020,234,73,167,474
"Census Tract 117.02, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2020,0,0,0,0
"Census Tract 119, Bronx County, New York",1763,333,176,137,97,127,126,78,51,45,127,137,133,67,19,89,21,36,005,011900,36005011900,2020,743,427,593,1763
"Census Tract 121.02, Bronx County, New York",533,40,120,43,82,84,18,1,14,34,4,15,1,36,41,0,0,36,005,012102,36005012102,2020,285,151,97,533
"Census Tract 127.01, Bronx County, New York",732,126,47,31,25,28,107,10,47,19,57,96,66,49,9,6,9,36,005,012701,36005012701,2020,229,211,292,732
"Census Tract 129.01, Bronx County, New York",1590,174,276,68,137,149,123,100,29,78,134,84,70,101,27,40,0,36,005,012901,36005012901,2020,655,479,456,1590
"Census Tract 131, Bronx County, New York",2098,473,344,125,72,79,52,137,141,0,117,93,353,25,56,9,22,36,005,013100,36005013100,2020,1014,409,675,2098
"Census Tract 159, Bronx County, New York",772,193,188,27,0,44,22,0,0,7,19,65,115,54,5,14,19,36,005,015900,36005015900,2020,408,73,291,772
