NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2023,0,0,0,0
Census Tract 83; Bronx County; New York,2239,305,215,52,22,57,0,106,142,159,179,134,232,235,145,197,59,36,005,008300,36005008300,2023,594,464,1181,2239
Census Tract 85; Bronx County; New York,2110,233,217,198,69,151,67,82,85,60,11,184,338,235,48,42,90,36,005,008500,36005008500,2023,717,445,948,2110
Census Tract 87; Bronx County; New York,2109,307,112,230,135,53,33,129,289,121,131,188,86,28,50,152,65,36,005,008700,36005008700,2023,784,625,700,2109
Census Tract 89; Bronx County; New York,1327,79,220,24,101,108,112,39,134,56,18,245,109,14,0,32,36,36,005,008900,36005008900,2023,424,449,454,1327
Census Tract 93.01; Bronx County; New York,1918,120,56,107,73,87,32,70,205,100,272,111,176,83,103,243,80,36,005,009301,36005009301,2023,356,494,1068,1918
Census Tract 93.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2023,0,0,0,0
Census Tract 115.02; Bronx County; New York,1507,258,92,164,108,121,213,87,28,85,136,27,48,28,63,7,42,36,005,011502,36005011502,2023,622,534,351,1507
Census Tract 117.01; Bronx County; New York,492,76,75,0,37,27,26,42,41,30,35,33,35,0,13,22,0,36,005,011701,36005011701,2023,188,166,138,492
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2023,0,0,0,0
Census Tract 119; Bronx County; New York,1874,230,207,136,106,64,122,154,44,0,112,187,215,69,54,163,11,36,005,011900,36005011900,2023,679,384,811,1874
Census Tract 121.02; Bronx County; New York,548,56,102,11,44,51,0,0,47,15,58,54,41,19,0,50,0,36,005,012102,36005012102,2023,213,113,222,548
Census Tract 127.01; Bronx County; New York,775,14,72,38,51,36,49,86,0,44,42,83,80,32,106,42,0,36,005,012701,36005012701,2023,175,215,385,775
Census Tract 129.01; Bronx County; New York,1653,297,167,230,50,16,64,39,150,42,74,159,113,188,64,0,0,36,005,012901,36005012901,2023,744,311,598,1653
Census Tract 131; Bronx County; New York,2240,512,406,386,68,21,10,63,125,78,7,74,165,76,167,24,58,36,005,013100,36005013100,2023,1372,297,571,2240
Census Tract 159; Bronx County; New York,929,50,197,147,77,24,70,60,0,5,44,33,122,75,15,10,0,36,005,015900,36005015900,2023,471,159,299,929
