year,source_file,sheet,0,1,2,3,4,5,6,7,8,9,10
2020,cu-income-before-taxes-2020.xlsx,Table 1203,Food at home,,,,,,,,,,
2020,cu-income-before-taxes-2020.xlsx,Table 1203,Other food at home,,,,,,,,,,
2020,cu-income-quintiles-before-taxes-2020.xlsx,Table 1101,Food at home,,,,,,,,,,
2020,cu-income-quintiles-before-taxes-2020.xlsx,Table 1101,Other food at home,,,,,,,,,,
2021,cu-income-before-taxes-2021.xlsx,Table 1203,Food at home,,,,,,,,,,
2021,cu-income-before-taxes-2021.xlsx,Table 1203,Other food at home,,,,,,,,,,
2021,cu-income-quintiles-before-taxes-2021.xlsx,Table 1101,Food at home,,,,,,,,,,
2021,cu-income-quintiles-before-taxes-2021.xlsx,Table 1101,Other food at home,,,,,,,,,,
2022,cu-income-before-taxes-2022.xlsx,Table 1203,Food at home,,,,,,,,,,
2022,cu-income-before-taxes-2022.xlsx,Table 1203,Other food at home,,,,,,,,,,
2022,cu-income-quintiles-before-taxes-2022.xlsx,Table 1101,Food at home,,,,,,,,,,
2022,cu-income-quintiles-before-taxes-2022.xlsx,Table 1101,Other food at home,,,,,,,,,,
2023,cu-income-before-taxes-2023.xlsx,Table 1203,Food at home,,,,,,,,,,
2023,cu-income-before-taxes-2023.xlsx,Table 1203,Other food at home,,,,,,,,,,
2023,cu-income-quintiles-before-taxes-2023.xlsx,Table 1101,Food at home,,,,,,,,,,
2023,cu-income-quintiles-before-taxes-2023.xlsx,Table 1101,Other food at home,,,,,,,,,,
2024,cu-income-before-taxes-2024.xlsx,Table 1203,Food at home,,,,,,,,,,
2024,cu-income-before-taxes-2024.xlsx,Table 1203,Other food at home,,,,,,,,,,
