source,store_id,store_name,address_query,addr_number,addr_street,addr_zip,latitude,longitude,bbl,bbl_method,bbl_label,bin,Tax_j,dof_taxyear,dof_annualized,pluto_assesstot,pluto_assessland,pluto_ownername,pluto_bldgclass,pluto_ok,dof_ok,assessment_ok,assessment_year,acris_lease_hit,acris_n_lease_docs,acris_lease_doc_type,Rent_j_acris,rent_sqft,Rent_j_low,Rent_j_mid,Rent_j_high,Rent_j,rent_method
agmarkets,767797,A&Z GOURMET DELI,"772 HUNTS POINT AVE, Bronx, NY 10474",772,HUNTS POINT AVE,10474,40.81603,-73.88739,2027630212,geosearch,"772 HUNTS POINT AVENUE, Bronx, NY, USA",2006550,21772.0,2027,False,112500.0,9900.0,MCCANN REALTY CORP.,K1,True,True,False,,False,0.0,,,,,,,,none
agmarkets,766176,1054 UNITED DELI & SALAD,"1054 SOUTHERN BLVD, Bronx, NY 10459",1054,SOUTHERN BLVD,10459,40.82439,-73.89191,2027430019,geosearch,"1054 SOUTHERN BOULEVARD, Bronx, NY, USA",2006021,1816780.64,2027,True,4020300.0,161100.0,SOUTHERN 634 LLC,D7,True,True,False,,True,2.0,MLEA,175000.0,900.0,18000.0,24750.0,31500.0,175000.0,acris
agmarkets,766161,YADIEL GROCERY STORE,"670 BARRETTO ST, Bronx, NY 10474",670,BARRETTO STREET,10474,40.8139,-73.8892,2027650198,geosearch,"670 BARRETTO STREET, Bronx, NY, USA",2006623,193942.24,2027,True,538650.0,34200.0,MELSY RLTY CP,C7,True,True,False,,False,0.0,,,1000.0,20000.0,27500.0,35000.0,27500.0,market_rate_sqft
agmarkets,765394,KADOSH FOODS,"490 HUNTS POINT AVE, Bronx, NY 10474",490,HUNTS POINT AVE,10474,40.8102,-73.88135,2027720262,geosearch,"490 HUNT'S POINT AVENUE, Bronx, NY, USA",2006931,154492.96,2027,True,404100.0,99000.0,MESTOUSIS REALTY CORP.,E1,True,True,False,,False,0.0,,,5000.0,100000.0,137500.0,175000.0,137500.0,market_rate_sqft
agmarkets,764530,844 MINI MARKET FISH,"844 HUNTS POINT AVE, Bronx, NY 10474",844,HUNTS POINT AVE,10474,40.81757,-73.88851,2027620015,geosearch,"844 HUNT'S POINT AVENUE, Bronx, NY, USA",2006425,18481.04,2027,False,46320.0,10620.0,844 HUNTS POINT LLC,S2,True,True,False,,False,0.0,,,,,,,,none
agmarkets,764455,D LORA,"814 HEWITT PL, Bronx, NY 10459",814,HEWITT PLACE,10459,40.81882,-73.89988,2026960003,geosearch,"814 HEWITT PLACE, Bronx, NY, USA",2005344,135255.6,2027,False,471150.0,20250.0,"BECK STREET CLUSTER, L.P.",C7,True,True,False,,False,0.0,,,,,,,,none
agmarkets,764322,MARGARITAS GROCERY STORE,"926 INTERVALE AVE, Bronx, NY 10459",926,INTERVALE AVE,10459,40.81984,-73.89661,2027030001,geosearch,"926 INTERVALE AVENUE, Bronx, NY, USA",2005450,187065.84,2027,True,781200.0,36000.0,SEBCO/BANANA KELLY ASSOC,D7,True,True,False,,False,0.0,,,1000.0,20000.0,27500.0,35000.0,27500.0,market_rate_sqft
agmarkets,763602,VARIEDADES DE MI CULTURA EBENEZER,"1087-1093 SOUTHERN BLVD, Bronx, NY 10459",1087-1093,SOUTHERN BLVD,10459,40.82577,-73.89194,2027270045,geosearch,"1093 SOUTHERN BOULEVARD, Bronx, NY, USA",2005806,284301.12,2027,True,1014300.0,157950.0,1087 SOUTHERN REALTY LLC,K4,True,True,False,,False,0.0,,,,,,,,none
agmarkets,763544,J&J DELI GROCERY STORE,"699 BECK ST ##, Bronx, NY 10455",699,BECK STREET ##,10455,40.81503,-73.9003,2026850056,geosearch,"699 BECK STREET, Bronx, NY, USA",2005113,127579.36,2027,True,270900.0,40050.0,BECK STREET REALTY LLC,C7,True,True,False,,False,0.0,,,1000.0,20000.0,27500.0,35000.0,27500.0,market_rate_sqft
agmarkets,763145,DIANA MINI MARKET,"701 COSTER ST ####, Bronx, NY 10474",701,COSTER STREET ####,10474,40.81464,-73.88748,2027630105,geosearch,"701 COSTER STREET, Bronx, NY, USA",2006510,11968.68,2027,False,117900.0,15750.0,MOUNT SINAI CHRISTIAN CH,M9,True,True,False,,False,0.0,,,1200.0,24000.0,33000.0,42000.0,33000.0,market_rate_sqft
