source,store_id,store_name,address_query,addr_number,addr_street,addr_zip,latitude,longitude,bbl,bbl_method,bbl_label,bin,Tax_j,dof_taxyear,dof_annualized,pluto_assesstot,pluto_assessland,pluto_ownername,pluto_bldgclass,pluto_ok,dof_ok,assessment_ok,assessment_year,acris_lease_hit,acris_n_lease_docs,acris_lease_doc_type,Rent_j_acris,rent_sqft,Rent_j_low,Rent_j_mid,Rent_j_high,Rent_j,rent_method
snap,662612,1029 Simpson Deli & Grocery Corp  ,"1029 WESTCHESTER AVE, Bronx, NY 10459",1029,Westchester Ave,10459,40.82426,-73.89309,2027260066,geosearch,"1029 WESTCHESTER AVENUE, Bronx, NY, USA",2005798,810866.24,2027,True,1308150.0,28350.0,1027 GV LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,662612,1029 Simpson Deli & Grocery Corp  ,"1029 WESTCHESTER AVE, Bronx, NY 10459",1029,Westchester Ave,10459,40.82426,-73.89309,2027260066,geosearch,"1029 WESTCHESTER AVENUE, Bronx, NY, USA",2005798,810866.24,2027,True,1308150.0,28350.0,1027 GV LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,662612,1029 Simpson Deli & Grocery Corp  ,"1029 WESTCHESTER AVE, Bronx, NY 10459",1029,Westchester Ave,10459,40.82426,-73.89309,2027260066,geosearch,"1029 WESTCHESTER AVENUE, Bronx, NY, USA",2005798,810866.24,2027,True,1308150.0,28350.0,1027 GV LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,712081,1045 GROCERY & CANDY  ,"1045 E 163RD ST, Bronx, NY 10459",1045,E 163rd St,10459,40.82105,-73.8913,2027420003,geosearch,"1045 EAST 163 STREET, Bronx, NY, USA",2094367,2970772.64,2027,True,7030800.0,2250000.0,940 SOUTHERN BOULEVA,K1,True,True,False,,False,0.0,,,,,,,,none
snap,814618,1048 Express Deli Inc  ,"1048 WESTCHESTER AVE, Bronx, NY 10459",1048,Westchester Ave,10459,40.82466,-73.89182,2027430019,geosearch,"1048 WESTCHESTER AVENUE, Bronx, NY, USA",2006021,1816780.64,2027,True,4020300.0,161100.0,SOUTHERN 634 LLC,D7,True,True,False,,True,2.0,MLEA,175000.0,,,,,175000.0,acris
snap,1486973,1054 United Deli & Tobacco Corp  ,"1054 SOUTHERN BLVD, Bronx, NY 10459",1054,Southern Blvd,10459,40.82439,-73.89171,2027430019,geosearch,"1054 SOUTHERN BOULEVARD, Bronx, NY, USA",2006021,1816780.64,2027,True,4020300.0,161100.0,SOUTHERN 634 LLC,D7,True,True,False,,True,2.0,MLEA,175000.0,,,,,175000.0,acris
snap,1206639,1078 Deli Grocery Corp  ,"1078 E 165TH ST, Bronx, NY 10459",1078,E 165th St,10459,40.82505,-73.89072,2027430030,geosearch,"1078 EAST 165 STREET, Bronx, NY, USA",2006023,1502575.84,2027,True,1776600.0,44100.0,1057 HOE AVENUE LLC D,D7,True,True,False,,True,2.0,ASSTO,,,,,,,acris_lease_no_amount
snap,288111,"1078 GROCERY 2000, INC.  ","1078 E 165TH ST, Bronx, NY 10459",1078,E 165th St,10459,40.82503,-73.89061,2027430030,geosearch,"1078 EAST 165 STREET, Bronx, NY, USA",2006023,1502575.84,2027,True,1776600.0,44100.0,1057 HOE AVENUE LLC D,D7,True,True,False,,True,2.0,ASSTO,,,,,,,acris_lease_no_amount
snap,924640,1106 Gourmet Deli Inc  ,"1106 WESTCHESTER AVE, Bronx, NY 10459",1106,Westchester Ave,10459,40.8253,-73.89054,2027500003,geosearch,"1106 WESTCHESTER AVENUE, Bronx, NY, USA",2092027,107379.28,2027,False,285300.0,54000.0,HERITAGE FIRST REALTY CORP,S9,True,True,False,,False,0.0,,,,,,,,none
snap,966018,1106 Westchester Gourmet Deli Corp  ,"1106 WESTCHESTER AVE, Bronx, NY 10459",1106,Westchester Ave,10459,40.8253,-73.89054,2027500003,geosearch,"1106 WESTCHESTER AVENUE, Bronx, NY, USA",2092027,107379.28,2027,False,285300.0,54000.0,HERITAGE FIRST REALTY CORP,S9,True,True,False,,False,0.0,,,,,,,,none
snap,767481,1142 Grocery Corp  ,"1142 E 165TH ST, Bronx, NY 10459",1142,E 165th St,10459,40.8252,-73.88745,2027560080,geosearch,"1142 EAST 165 STREET, Bronx, NY, USA",2006272,26720.4,2027,False,406350.0,107100.0,165-1142 LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,1346181,1150 Joseph Deli & Grocery Inc.  ,"1150 GARRISON AVE, Bronx, NY 10474",1150,Garrison Ave,10474,40.82017,-73.88855,2027610024,geosearch,"1150 GARRISON AVENUE, Bronx, NY, USA",2006324,188742.24,2027,True,753300.0,121500.0,HUNTS POINT HSNG DEVFUN,C7,True,True,False,,False,0.0,,,,,,,,none
snap,1346181,1150 Joseph Deli & Grocery Inc.  ,"1150 GARRISON AVE, Bronx, NY 10474",1150,Garrison Ave,10474,40.82017,-73.88855,2027610024,geosearch,"1150 GARRISON AVENUE, Bronx, NY, USA",2006324,188742.24,2027,True,753300.0,121500.0,HUNTS POINT HSNG DEVFUN,C7,True,True,False,,False,0.0,,,,,,,,none
snap,294482,1318 SALCEDO SUPERMARKET CORP  ,"1318 LAFAYETTE AVE, Bronx, NY 10474",1318,Lafayette Ave,10474,40.81687,-73.88617,2027630220,geosearch,"1318 LAFAYETTE AVENUE, Bronx, NY, USA",2006552,768208.0,2027,True,796950.0,48150.0,BRYANT PROPERTIES 769 LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,807136,149 DELI CORP  ,"543 SOUTHERN BLVD, Bronx, NY 10455",543,Southern Blvd,10455,40.81226,-73.90388,2026830001,geosearch,"543 SOUTHERN BOULEVARD, Bronx, NY, USA",2005080,369908.16,2027,True,921600.0,135000.0,WMM REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1654563,169 Habibi Deli Corp  ,"1251 REV JAMES A POLITE AVE, Bronx, NY 10459",1251,Rev James A Polite Ave,10459,40.82864,-73.89665,2026940024,geosearch,"1251 REV JAMES A POLITE AVENUE, Bronx, NY, USA",2005311,18176.64,2027,False,453150.0,58950.0,1251 REV JAMES LLC,S3,True,True,False,,False,0.0,,,,,,,,none
snap,958505,"2010 A&M Varieties, Corp D/B/A 99 Cents Plus  ","844 HUNTS POINT AVE, Bronx, NY 10474",844,Hunts Point Ave,10474,40.81756,-73.88848,2027620015,geosearch,"844 HUNT'S POINT AVENUE, Bronx, NY, USA",2006425,18481.04,2027,False,46320.0,10620.0,844 HUNTS POINT LLC,S2,True,True,False,,False,0.0,,,,,,,,none
snap,1571769,20r Grocery Store Corporation  ,"1300 LAFAYETTE AVE, Bronx, NY 10474",1300,Lafayette Ave,10474,40.81667,-73.88691,2027630215,geosearch,"1300 LAFAYETTE AVENUE, Bronx, NY, USA",2006551,595355.52,2027,True,1320750.0,40500.0,ARO 770 FAILE REALTY LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,1247994,3030 Deli Grocery Inc  ,"1095 E 165TH ST, Bronx, NY 10459",1095,E 165th St,10459,40.82515,-73.88979,2027500009,geosearch,"1095 EAST 165 STREET, Bronx, NY, USA",2006141,13542.88,2027,False,404100.0,76950.0,"PARK LEVY, LLC",S9,True,True,False,,False,0.0,,,,,,,,none
snap,510974,422 Westchester Fruit Vegetable & Grocery Inc  ,"966 LONGWOOD AVE, Bronx, NY 10459",966,Longwood Ave,10459,40.81738,-73.89812,2027080046,geosearch,"966 LONGWOOD AVENUE, Bronx, NY, USA",2005569,,,,819900.0,99000.0,783 BECK ST. HSING DVLPM,D7,True,False,False,,False,0.0,,,,,,,,none
snap,951921,543 DELI CORP  ,"543 SOUTHERN BLVD, Bronx, NY 10455",543,Southern Blvd,10455,40.81226,-73.90388,2026830001,geosearch,"543 SOUTHERN BOULEVARD, Bronx, NY, USA",2005080,369908.16,2027,True,921600.0,135000.0,WMM REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1182229,543 North Deli Grocery Inc  ,"543 SOUTHERN BLVD, Bronx, NY 10455",543,Southern Blvd,10455,40.81224,-73.90384,2026830001,geosearch,"543 SOUTHERN BOULEVARD, Bronx, NY, USA",2005080,369908.16,2027,True,921600.0,135000.0,WMM REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1648445,543 North Deli Grocery Inc  ,"543 SOUTHERN BLVD, Bronx, NY 10455",543,Southern Blvd,10455,40.81237,-73.90393,2026830001,geosearch,"543 SOUTHERN BOULEVARD, Bronx, NY, USA",2005080,369908.16,2027,True,921600.0,135000.0,WMM REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1194011,548 Grocery Deli Inc  ,"548 SOUTHERN BLVD, Bronx, NY 10455",548,Southern Blvd,10455,40.81219,-73.9038,2026037501,geosearch,"548 SOUTHERN BOULEVARD, Bronx, NY, USA",2004121,,,,2158650.0,118350.0,CORNER VIEW RESIDENCE LLC,RM,True,False,False,,False,,,,,,,,,none
snap,909221,561 Southern Food Corp  ,"561D SOUTHERN BLVD, Bronx, NY 10455",561D,Southern Blvd,10455,40.8124,-73.90337,2026830045,geosearch,"561D SOUTHERN BOULEVARD, Bronx, NY, USA",2116552,372949.92,2027,True,1011150.0,180000.0,NEW ERA ESTATE INC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,240733,564 GROCERY INC  ,"564 SOUTHERN BLVD, Bronx, NY 10455",564,Southern Blvd,10455,40.81248,-73.90279,2026030011,geosearch,"564 SOUTHERN BOULEVARD, Bronx, NY, USA",2004123,275517.6,2027,True,719550.0,146250.0,564 SOUTHERN BLVD LLC,K2,True,True,False,,False,0.0,,,,,,,,none
snap,830569,585 Altagracia Grocery Corp  ,"585 SOUTHERN BLVD, Bronx, NY 10455",585,Southern Blvd,10455,40.81259,-73.90274,2026830035,geosearch,"585 SOUTHERN BOULEVARD, Bronx, NY, USA",2005082,430986.72,2027,True,1109700.0,180000.0,JAYDEE REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1056571,639-641 Grocery Corp  ,"639 SOUTHERN BLVD, Bronx, NY 10455",639,Southern Blvd,10455,40.81304,-73.90115,2026830100,geosearch,"639 SOUTHERN BOULEVARD, Bronx, NY, USA",2005092,760735.0,2027,False,1388250.0,139500.0,1021-1027 AVE ST. JOHN HOUSING DEVELOP F UND CORP,C6,True,True,False,,False,0.0,,,,,,,,none
snap,826586,639-641 Southern Boulevard Inc  ,"639 SOUTHERN BLVD, Bronx, NY 10455",639,Southern Blvd,10455,40.81304,-73.90115,2026830100,geosearch,"639 SOUTHERN BOULEVARD, Bronx, NY, USA",2005092,760735.0,2027,False,1388250.0,139500.0,1021-1027 AVE ST. JOHN HOUSING DEVELOP F UND CORP,C6,True,True,False,,False,0.0,,,,,,,,none
snap,1498571,670 Toledo Grocery Corp  ,"670 BARRETTO ST, Bronx, NY 10474",670,Barretto St,10474,40.81393,-73.88908,2027650198,geosearch,"670 BARRETTO STREET, Bronx, NY, USA",2006623,193942.24,2027,True,538650.0,34200.0,MELSY RLTY CP,C7,True,True,False,,False,0.0,,,,,,,,none
snap,1142908,671 Kelly Deli Grocery Inc  ,"671 KELLY ST, Bronx, NY 10455",671,Kelly Street,10455,40.8154,-73.90233,2026860005,geosearch,"671 KELLY STREET, Bronx, NY, USA",2005122,250730.64,2027,False,313650.0,48150.0,671 KELLY STREET HOUSING DEVELOPMENT FUN D CORP.,C7,True,True,False,,False,0.0,,,,,,,,none
snap,647136,698 GROCERY INC  ,"698 BECK ST, Bronx, NY 10455",698,Beck St,10455,40.81491,-73.90051,2026840068,geosearch,"698 BECK STREET, Bronx, NY, USA",2005098,358033.76,2027,True,1458450.0,120150.0,BRONX BROOKLYN HOUSING DEVELOPMENT FUND  CORPORATIO,C7,True,True,False,,False,0.0,,,,,,,,none
snap,797350,699 BECK ST. GROCERY CORP  ,"699 BECK ST, Bronx, NY 10455",699,Beck St,10455,40.81502,-73.90044,2026850056,geosearch,"699 BECK STREET, Bronx, NY, USA",2005113,127579.36,2027,True,270900.0,40050.0,BECK STREET REALTY LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,904780,7-Eleven#39045A  ,"1081 LEGGETT AVE, Bronx, NY 10474",1081,Leggett Ave,10474,40.81235,-73.89631,2027360021,geosearch,"1081 LEGGETT AVENUE, Bronx, NY, USA",2094342,244587.68,2027,True,631350.0,225000.0,"SINGH, KULDIP",G3,True,True,False,,False,0.0,,,,,,,,none
snap,1641074,703 Habibi Halal Deli Inc 1,"703 SOUTHERN BLVD, Bronx, NY 10455",703,Southern Blvd,10455,40.81378,-73.89915,2027200041,geosearch,"703 SOUTHERN BOULEVARD, Bronx, NY, USA",2005724,52165.2,2027,False,3267000.0,292500.0,1025-1027 LEGGETT AVENUE HDFC,C6,True,True,False,,False,0.0,,,,,,,,none
snap,1012067,801 Hunts Point Deli Corp  ,"801 HUNTS POINT AVE, Bronx, NY 10474",801,Hunts Point Ave,10474,40.81662,-73.88808,2027400039,geosearch,"801 HUNT'S POINT AVENUE, Bronx, NY, USA",2005958,2865524.32,2027,True,1402650.0,94050.0,NEW 1275 LAFAYETTE,C7,True,True,False,,True,2.0,MLEA,,,,,,,acris_lease_no_amount
snap,1012067,801 Hunts Point Deli Corp  ,"801 HUNTS POINT AVE, Bronx, NY 10474",801,Hunts Point Ave,10474,40.81662,-73.88808,2027400039,geosearch,"801 HUNT'S POINT AVENUE, Bronx, NY, USA",2005958,2865524.32,2027,True,1402650.0,94050.0,NEW 1275 LAFAYETTE,C7,True,True,False,,True,2.0,MLEA,,,,,,,acris_lease_no_amount
snap,378697,848 HUNTS POINT DELI GROCERY INC  ,"848 HUNTS POINT AVE, Bronx, NY 10474",848,Hunts Point Ave,10474,40.81775,-73.88854,2027620016,geosearch,"848 HUNT'S POINT AVENUE, Bronx, NY, USA",2006426,91351.36,2027,True,328500.0,14400.0,"CEHP HOUSING DEVELOPMENT FUND COMPANY, I NC.",C7,True,True,False,,False,0.0,,,,,,,,none
snap,1389353,848 Stop 1 Deli Grocery Inc  ,"848 HUNTS POINT AVE, Bronx, NY 10474",848,Hunts Point Ave,10474,40.81768,-73.88838,2027620016,geosearch,"848 HUNT'S POINT AVENUE, Bronx, NY, USA",2006426,91351.36,2027,True,328500.0,14400.0,"CEHP HOUSING DEVELOPMENT FUND COMPANY, I NC.",C7,True,True,False,,False,0.0,,,,,,,,none
snap,1068367,862 Food Corp/Food Dynasty  ,"862 HUNTS POINT AVE, Bronx, NY 10474",862,Hunts Point Ave,10474,40.81823,-73.88889,2027620042,geosearch,"862 HUNT'S POINT AVENUE, Bronx, NY, USA",2129776,40795.04,2027,True,1351800.0,106650.0,"JOEY. K. REALTY, INC",C7,True,True,False,,False,0.0,,,,,,,,none
snap,681518,869 DELI GROCERY CORP  ,"865 E 149TH ST, Bronx, NY 10455",865,E 149th St,10455,40.81169,-73.90358,2026030051,geosearch,"865 EAST 149 STREET, Bronx, NY, USA",2096003,152969.92,2027,True,399600.0,133200.0,M.T.S. REALTY CORP,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1306261,901 Gourmet Deli Corp  ,"901 SOUTHERN BLVD, Bronx, NY 10459",901,Southern Blvd,10459,40.81959,-73.8929,2027230068,geosearch,"901 SOUTHERN BOULEVARD, Bronx, NY, USA",2005768,811144.64,2027,True,622800.0,40500.0,901 REALTY LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,986545,908 Garcia Fruits & Grocery Corp  ,"908 E 163RD ST, Bronx, NY 10459",908,E 163rd St,10459,40.82095,-73.8979,2026960103,geosearch,"908 EAST 163 STREET, Bronx, NY, USA",2005349,343928.48,2027,True,808650.0,28350.0,LOUCADO REALTY CORP.,C7,True,True,False,,False,0.0,,,,,,,,none
snap,665388,931 DELI-GROCERY CORP  ,"931 FOX ST, Bronx, NY 10459",931,Fox St,10459,40.82077,-73.89391,2027120028,geosearch,"931 FOX STREET, Bronx, NY, USA",2005635,66431.84,2027,True,1361700.0,52200.0,QUADRANT PROPERTIES HOUSING DEVELOPMENT,D7,True,True,False,,False,0.0,,,,,,,,none
snap,1304083,947 Deli Grocery Corp  ,"947 E 163RD ST, Bronx, NY 10459",947,E 163rd St,10459,40.82106,-73.89606,2027030053,geosearch,"947 EAST 163 STREET, Bronx, NY, USA",2005463,812092.64,2027,True,1694700.0,140850.0,EAST 163RD,D7,True,True,False,,True,1.0,LEAS,,,,,,,acris_lease_no_amount
snap,1083359,950 Fair Food Corp/Fine Fare Supermarket  ,"950 WESTCHESTER AVE, Bronx, NY 10459",950,Westchester Ave,10459,40.82236,-73.89603,2027037501,geosearch,"950 WESTCHESTER AVENUE, Bronx, NY, USA",2114693,,,,9337049.0,449999.0,UNAVAILABLE OWNER,RM,True,False,False,,False,,,,,,,,,none
snap,1002656,950 Food Corp/Price Choice Supermarket  ,"950 WESTCHESTER AVE, Bronx, NY 10459",950,Westchester Ave,10459,40.82235,-73.89628,2027037501,geosearch,"950 WESTCHESTER AVENUE, Bronx, NY, USA",2114693,,,,9337049.0,449999.0,UNAVAILABLE OWNER,RM,True,False,False,,False,,,,,,,,,none
snap,840869,971 Grocery Store Corp  ,"971A WESTCHESTER AVE, Bronx, NY 10459",971A,Westchester Ave,10459,40.82299,-73.89529,2027150035,geosearch,"971A WESTCHESTER AVENUE, Bronx, NY, USA",2005667,684767.28,2027,False,562950.0,36000.0,WESTBERT REALTY CORP,C7,True,True,False,,False,0.0,,,,,,,,none
snap,833172,99 C Brands Inc.  ,"836 HUNTS POINT AVE, Bronx, NY 10474",836,Hunts Point Ave,10474,40.81739,-73.88839,2027620012,geosearch,"836 HUNTS POINT AVENUE, Bronx, NY, USA",2006422,19057.76,2027,False,99000.0,45000.0,"836 HUNTS POINT, LLC",K1,True,True,False,,False,0.0,,,,,,,,none
snap,864285,99 Cent Days & Discount Inc.  ,"901 SOUTHERN BLVD, Bronx, NY 10459",901,Southern Blvd,10459,40.81951,-73.89297,2027230068,geosearch,"901 SOUTHERN BOULEVARD, Bronx, NY, USA",2005768,811144.64,2027,True,622800.0,40500.0,901 REALTY LLC,C7,True,True,False,,False,0.0,,,,,,,,none
snap,988221,99 Cent Discount King Inc  ,"953 SOUTHERN BLVD, Bronx, NY 10459",953,Southern Blvd,10459,40.82141,-73.89172,2027240186,geosearch,"953 SOUTHERN BOULEVARD, Bronx, NY, USA",2005787,3597192.48,2027,True,9969750.0,1395000.0,953 SB LLC,O5,True,True,False,,True,1.0,MLEA,,,,,,,acris_lease_no_amount
snap,798328,99 CENT EXPRESS INC  ,"789 SOUTHERN BLVD, Bronx, NY 10455",789,Southern Blvd,10455,40.816,-73.89659,2027200076,geosearch,"789 SOUTHERN BOULEVARD, Bronx, NY, USA",2005732,192025.44,2027,False,288000.0,99000.0,SKYVIEW 1 REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,1120190,99 Cents Of Southern Inc  ,"789 SOUTHERN BLVD, Bronx, NY 10455",789,Southern Blvd,10455,40.816,-73.89659,2027200076,geosearch,"789 SOUTHERN BOULEVARD, Bronx, NY, USA",2005732,192025.44,2027,False,288000.0,99000.0,SKYVIEW 1 REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
snap,796580,99 CENTS PLUS DISCOUNT & HAIR SUPPLY INC  ,"844 HUNTS POINT AVE, Bronx, NY 10474",844,Hunts Point Ave,10474,40.81756,-73.88848,2027620015,geosearch,"844 HUNT'S POINT AVENUE, Bronx, NY, USA",2006425,18481.04,2027,False,46320.0,10620.0,844 HUNTS POINT LLC,S2,True,True,False,,False,0.0,,,,,,,,none
snap,1055275,99c Us1  ,"1041 E 163RD ST, Bronx, NY 10459",1041,E 163rd St,10459,40.82105,-73.89138,2027420003,geosearch,"1041 EAST 163 STREET, Bronx, NY, USA",2094367,2970772.64,2027,True,7030800.0,2250000.0,940 SOUTHERN BOULEVA,K1,True,True,False,,False,0.0,,,,,,,,none
