chain,addr_key,store_name,address,cd_code,basket_2019,n_items_imputed
ASSOCIATED SUPERMARKET,125 W KINGSBRIDGE RD,Associated Supermarket,125 WEST KINGSBRIDGE ROAD,208,22.10651807,1
BRAVO,248 E 174 ST,Bravo ,248 EAST 174 STREET,204,23.97,0
C TOWN,100 HUGH J GRANT CIRCLE,C-Town,100 HUGH J GRANT CIRCLE,209,21.088,0
C TOWN,1750 DR MARTIN LUTHER KING JR BLVD,C-Town,1750 DR MARTIN LUTHER KING JR BLVD,205,26.47666667,0
C TOWN,228 BROOK AVE,C-Town,228 BROOK AVENUE,201,19.84509264,1
C TOWN,256 ST ANN'S AVE,C-Town,256 ST ANN'S AVENUE,201,23.33029085,2
C TOWN,2891 SEDGWICK AVE,C-Town,2891 SEDGWICK AVENUE,208,23.82944444,0
C TOWN,309 E BURNSIDE AVE,C-Town,309 EAST BURNSIDE AVENUE,205,19.96166667,0
C TOWN,3220 3 AVE,C-Town,3220 3 AVENUE,203,19.91315442,3
C TOWN,3690 3 AVE,C-Town,3690 3 AVENUE,203,22.4,0
C TOWN,630 E 169 ST,C-Town,630 EAST 169 STREET,203,21.35649515,2
FINE FARE,3131 GRAND CONCOURSE,Fine Fare Supermarkets,3131 GRAND CONCOURSE,207,22.81,0
FINE FARE,49 E MOUNT EDEN AVE,Fine Fare Supermarkets,49 EAST MOUNT EDEN AVENUE,204,25.28639499,1
FINE FARE,59 E 167 ST,Fine Fare Supermarkets,59 EAST 167 STREET,204,25.52,0
FINE FARE,675 MORRIS AVE,Fine Fare Supermarkets,675 MORRIS AVENUE,201,19.86145071,1
FINE FARE,708 E TREMONT AVE,Fine Fare Supermarkets,708 EAST TREMONT AVENUE,206,22.375,0
FOOD UNIVERSE,148 E 170 ST,Food Universe,148 EAST 170 STREET,204,21.85360558,1
FOOD UNIVERSE,148 E BURNSIDE AVE,Food Universe Marketplace ,148 EAST BURNSIDE AVENUE,205,23.88328122,1
FOODTOWN,1000 ALLERTON AVE,Foodtown,1000 ALLERTON AVENUE,211,23.28666667,0
FOODTOWN,3100 3 AVE,Foodtown,3100 3 AVENUE,201,23.99,0
KEY FOOD,1050 WESTCHESTER AVE,Key Food,1050 WESTCHESTER AVENUE,202,21.21,0
KEY FOOD,1511 METROPOLITAN AVE,Key Food,1511 METROPOLITAN AVENUE,209,22.19349758,1
KEY FOOD,1791 WALTON AVE,Key Food,1791 WALTON AVENUE,205,19.91,0
KEY FOOD,2711 WHITE PLAINS RD,Key Food,2711 WHITE PLAINS ROAD,211,24.21666667,0
KEY FOOD,2722 E TREMONT AVE,Key Food ,2722 EAST TREMONT AVENUE,210,20.81,0
KEY FOOD,4171 WHITE PLAINS RD,Key Food,4171 WHITE PLAINS ROAD,212,18.97,0
KEY FOOD,760 MELROSE AVE,Key Food,760 MELROSE AVENUE,201,18.505,0
KEY FOOD,885 GERARD AVE,Key Food,885 GERARD AVENUE,204,25.00880866,0
PIONEER SUPERMARKET,250 WILLIS AVE,Pioneer Supermarket,250 WILLIS AVENUE,201,19.89910401,3
PIONEER SUPERMARKET,256 ST ANN'S AVE,Pioneer Supermarket,256 ST ANN'S AVENUE,201,19.66121723,1
