county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,767797,Store,AC,A&Z GOURMET DELI CORP,A&Z GOURMET DELI,772,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88739, 40.81603]}",307,,,,-73.88739,40.81603
BRONX,766176,Store,AC,1054 UNITED DELI & SALAD INC,1054 UNITED DELI & SALAD,1054,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89191, 40.82439]}",307,900,,,-73.89191,40.82439
BRONX,766161,Store,AC,YADIEL GROCERY STORE CORP,YADIEL GROCERY STORE,670,BARRETTO STREET,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.8892, 40.8139]}",307,1000,,,-73.8892,40.8139
BRONX,765394,Store,ACDK,KADOSH TRADING INC,KADOSH FOODS,490,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88135, 40.8102]}",307,5000,,,-73.88135,40.8102
BRONX,764530,Store,AC,844 MINI MARKET FISH AND FRIES INC,844 MINI MARKET FISH,844,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88851, 40.81757]}",307,,,,-73.88851,40.81757
BRONX,764455,Store,AC,D LORA CORP,D LORA,814,HEWITT PLACE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89988, 40.81882]}",307,,,,-73.89988,40.81882
BRONX,764322,Store,AC,FERNANDEZ MARGARITA,MARGARITAS GROCERY STORE,926,INTERVALE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89661, 40.81984]}",307,1000,,,-73.89661,40.81984
BRONX,763602,Store,AC,VARIEDADES DE MI CULTURA EBENEZER CORP,VARIEDADES DE MI CULTURA EBENEZER,1087-1093,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89194, 40.82577]}",307,,,,-73.89194,40.82577
BRONX,763544,Store,AC,J&J DELI GROCERY STORE CORP,J&J DELI GROCERY STORE,699,BECK STREET ##,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.9003, 40.81503]}",307,1000,,,-73.9003,40.81503
BRONX,763145,Store,AC,DIANA MINI MARKET CORP,DIANA MINI MARKET,701,COSTER STREET ####,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88748, 40.81464]}",307,1200,,,-73.88748,40.81464
BRONX,762631,Store,AC,BUUNNI COFFEE LLC,ROASTING ROOM THE,542,BARRETTO ST,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88848, 40.81117]}",307,5000,,,-73.88848,40.81117
BRONX,762597,Store,A,JOSE MINI MARKET INC,JOSE MINI MARKET,549,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90358, 40.81228]}",307,,,,-73.90358,40.81228
BRONX,762584,Store,AC,1007 GOURMET DELI INC,1007 GOURMET DELI,1007,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89179, 40.82304]}",307,,,,-73.89179,40.82304
BRONX,762487,Store,AC,CASITA MARIA DELI CORP,CASITA MARIA DELI,1020-1022,EAST 163RD STREET,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89225, 40.82098]}",307,,,,-73.89225,40.82098
BRONX,762315,Store,AC,LAS 3S R DELI GROCERY CORP,LAS 3'S DELI GROCERY,1001,E 167TH ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88968, 40.82677]}",307,1000,,,-73.88968,40.82677
BRONX,762137,Store,AC,FERNANDEZ DELI GROCERY II CORP,FERNANDEZ DELI GROCERY II,986,ROGERS PLACE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89761, 40.82374]}",307,,,,-73.89761,40.82374
BRONX,761933,Store,A,DREAMS 1 99C CORPORATION,99 CENT DREAMS,874,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88928, 40.81878]}",307,,,,-73.88928,40.81878
BRONX,761834,Store,AC,YEDELINE DELI & GROCERY 3 CORP,YEDELINE DELI & GROCERY 3,900,HOE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89028, 40.82135]}",307,,,,-73.89028,40.82135
BRONX,761622,Store,AC,ULISESS BUTCHER SHOP NY INC,ULISESS BUTCHER SHOP NY,956,LONGWOOD AVE###,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89827, 40.81755]}",307,,,,-73.89827,40.81755
BRONX,761224,Store,AC,MAX FRESH FOOD DELI CORP,MAX FRESH FOOD DELI,870,PROSPECT AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.90137, 40.82027]}",307,,,,-73.90137,40.82027
BRONX,760337,Store,AC,MARCS DELI & GROCERY CORP,MARCS DELI & GROCERY,1126,WESTCHESTER AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88993, 40.82569]}",307,,,,-73.88993,40.82569
BRONX,760222,Store,AC,NOVAX DELI CORPORATION,NOVAX DELI,831,DAWSON ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89844, 40.81897]}",307,,,,-73.89844,40.81897
BRONX,760107,Store,AC,FIRST HEALTH FRESH GOURMET INC,FIRST HEALTH FRESH GOURMET,795,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.89645, 40.81609]}",307,,,,-73.89645,40.81609
BRONX,760077,Store,A,NEW HOPE GROCERY INC,NEW HOPE GROCERY,944,ALDUS ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89145, 40.8231]}",307,,,,-73.89145,40.8231
BRONX,758904,Store,A,CULINART INC,BALDOR SPECIALTY FOODS,155,FOOD CENTER DRIVE  ##,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.87445, 40.80814]}",307,400,,,-73.87445,40.80814
BRONX,758653,Store,AC,GINO DELI GROCERY CORP,GINO DELI GROCERY,935,E 163RD ST  ##,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89653, 40.821]}",307,1200,,,-73.89653,40.821
BRONX,757845,Store,AC,KELLY SREET DELI CORP,KELLY SREET DELI,947,E 163RD STREET,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89617, 40.82099]}",307,1400,,,-73.89617,40.82099
