county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude,snap_eligible,snap_ever_authorized,snap_match_method,snap_record_id,snap_store_name,snap_store_type,snap_auth_date,snap_end_date,snap_match_distance_m
BRONX,767797,Store,AC,A&Z GOURMET DELI CORP,A&Z GOURMET DELI,772,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88739, 40.81603]}",307,,,,-73.88739,40.81603,0,1,address,1352620.0,Famous Gourmet And Grill Corp,Convenience Store,6/30/2020,6/30/2024,0.0
BRONX,766176,Store,AC,1054 UNITED DELI & SALAD INC,1054 UNITED DELI & SALAD,1054,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89191, 40.82439]}",307,900.0,,,-73.89191,40.82439,1,1,address,1486973.0,1054 United Deli & Tobacco Corp,Small Grocery Store,2/17/2022,,0.0
BRONX,766161,Store,AC,YADIEL GROCERY STORE CORP,YADIEL GROCERY STORE,670,BARRETTO STREET,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.8892, 40.8139]}",307,1000.0,,,-73.8892,40.8139,1,1,address,1640862.0,Yadiel Grocery Store Corp,Small Grocery Store,5/21/2025,,0.0
BRONX,765394,Store,ACDK,KADOSH TRADING INC,KADOSH FOODS,490,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88135, 40.8102]}",307,5000.0,,,-73.88135,40.8102,0,0,none,,,,,,
BRONX,764530,Store,AC,844 MINI MARKET FISH AND FRIES INC,844 MINI MARKET FISH,844,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88851, 40.81757]}",307,,,,-73.88851,40.81757,0,1,address,1635462.0,Sammy Fish & Deli,Combination Grocery/Other,4/2/2025,8/27/2025,0.0
BRONX,764455,Store,AC,D LORA CORP,D LORA,814,HEWITT PLACE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89988, 40.81882]}",307,,,,-73.89988,40.81882,1,1,address,1607586.0,D' Lora Corp.,Small Grocery Store,8/16/2024,,0.0
BRONX,764322,Store,AC,FERNANDEZ MARGARITA,MARGARITAS GROCERY STORE,926,INTERVALE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89661, 40.81984]}",307,1000.0,,,-73.89661,40.81984,1,1,address,861543.0,Margarita's Grocery Store,Convenience Store,4/28/2025,,0.0
BRONX,763602,Store,AC,VARIEDADES DE MI CULTURA EBENEZER CORP,VARIEDADES DE MI CULTURA EBENEZER,1087-1093,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89194, 40.82577]}",307,,,,-73.89194,40.82577,1,1,address,1242591.0,Southern Blvd Meat Market Corp./Sagal Food,Large Grocery Store,3/31/2016,,0.0
BRONX,763544,Store,AC,J&J DELI GROCERY STORE CORP,J&J DELI GROCERY STORE,699,BECK STREET ##,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.9003, 40.81503]}",307,1000.0,,,-73.9003,40.81503,1,1,address,1645086.0,J & J Deli Grocery Store Corp.,Convenience Store,3/26/2025,,0.0
BRONX,763145,Store,AC,DIANA MINI MARKET CORP,DIANA MINI MARKET,701,COSTER STREET ####,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88748, 40.81464]}",307,1200.0,,,-73.88748,40.81464,1,1,address,1609989.0,Diana Mini Market Corp.,Convenience Store,8/29/2024,,0.0
