county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3
RICHMOND,768379,Store,A,CRATE & GO INC,CRATE & GO,520,FOREST AVE,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.10763, 40.63034]}",585,,,
BRONX,768373,Store,A,2490 GROCERY HOUSEWARE CORP,2490 GROCERY HOUSEWARE,2490,WILLIAMSBRIDGE RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.85786, 40.86268]}",307,,,
QUEENS,768372,Store,A,AJ&E 99UP SUPERMARKET INC,AJ&E 99UP SUPERMARKET,47-06,BELL BLVD,BAYSIDE,NY,11361,"{'type': 'Point', 'coordinates': [-73.7676, 40.75673]}",196,,,
SUFFOLK,768319,Store,A,HAPPY AFRICAN MARKET LLC,HAPPY AFRICAN MARKET,16,LOWELL AVENUE,ISLIP TERRACE,NY,11752,"{'type': 'Point', 'coordinates': [-73.17418, 40.76434]}",1019,,,
ALBANY,768238,Store,A,TRADER JOES EAST INC,TRADER JOES #579,388,FEURA BUSH RD SUITE 200,GLENMONT,NY,12077,"{'type': 'Point', 'coordinates': [-73.79517, 42.60073]}",837,,,
OSWEGO,768208,Store,AC,FRUIT VALLEY ORCHARD AND FARM LLC,FRUIT VALLEY ORCHARD,507,BUNKER HILL,OSWEGO,NY,13126,"{'type': 'Point', 'coordinates': [-76.55412, 43.42343]}",239,500,,
ERIE,768204,Store,A,BURLEY BROTHERS COUNTRY BUTCHERY LLC,BURLEY BROTHERS COUNTRY BUTCHERY,3218,TRANSIT ROAD####,BUFFALO,NY,14224,"{'type': 'Point', 'coordinates': [-78.69695, 42.85508]}",276,,,
ONONDAGA,768184,Store,AC,ON THE WAY 2 INC,ON THE WAY 2,711,S MAIN ST ####,SYRACUSE,NY,13212,"{'type': 'Point', 'coordinates': [-76.14117, 43.1233]}",703,,,
RICHMOND,768136,Store,A,TRADER JOES EAST INC,TRADER JOES #580,6400,AMBOY RD,STATEN ISLAND,NY,10309,"{'type': 'Point', 'coordinates': [-74.21555, 40.52207]}",585,,,
WESTCHESTER,768123,Store,A,SIAR USA LLC,ALBANIAN CONVENIENCE 10/1/2025,4,TUCKAHOE RD ##,YONKERS,NY,10710,"{'type': 'Point', 'coordinates': [-73.87069, 40.95586]}",948,,,
RICHMOND,768120,Store,AC,NEIGHBORHOOD CHANGE YOUTH ORG INC,MOTHERR NATURE'S GARDEN,372,BROADWAY,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.11671, 40.63193]}",585,600,,
OTSEGO,768104,Store,A,NELSON SHARLA,FARMSTEAD MARKET,3588,STATE HIGHWAY 28 ####,MILFORD,NY,13807,"{'type': 'Point', 'coordinates': [-74.94895, 42.57745]}",917,,,
ONTARIO,768103,Store,A,HOMETOWN WINE COMPANY INC,HOMETOWN WINE COMPANY,203,N MAIN STREET,NAPLES,NY,14512,"{'type': 'Point', 'coordinates': [-77.3947, 42.6265]}",804,,,
WARREN,768091,Store,AC,QUEENSBURY MART INC,SAMS DELI,474,AVIATION ROAD,QUEENSBURY,NY,12804,"{'type': 'Point', 'coordinates': [-73.68616, 43.32964]}",818,,,
ORLEANS,768074,Store,ABC,LYN OAKEN U PICK LLC,LYN OAKEN U PICK,10609,RIDGE RD,MEDINA,NY,14103,"{'type': 'Point', 'coordinates': [-78.43622, 43.26217]}",500,900,,
SCHUYLER,768063,Store,A,WICKHAMS TANGO OAKS FARM LLC,WICKHAMS TANGO OAKS FARM,5557,ROUTE 414 ####,HECTOR,NY,14841,"{'type': 'Point', 'coordinates': [-76.87272, 42.50096]}",645,,,
NEW YORK,768050,Store,AC,BAMM WEST 16TH CORP,BIG APPLE MARKET,431,WEST 16TH STREET,NEW YORK,NY,10011,"{'type': 'Point', 'coordinates': [-74.00575, 40.74284]}",749,1400,,
RICHMOND,768031,Store,A,12 TORRES INC,EL CENTRO MINI MARKET,73,VICTORY BLVD,STATEN ISLAND,NY,10301,"{'type': 'Point', 'coordinates': [-74.07858, 40.63834]}",585,,,
KINGS,768025,Store,A,FRESH MARKET GOGO INC,FRESH MARKET GOGO,1977,65TH STREET,BROOKLYN,NY,11204,"{'type': 'Point', 'coordinates': [-73.98617, 40.61672]}",894,,,
ERIE,768016,Store,A,KEN-TON QUICK STOP INC,KEN-TON QUICK STOP,3670,DELAWARE AVE,BUFFALO,NY,14217,"{'type': 'Point', 'coordinates': [-78.87279, 42.98407]}",278,,,
KINGS,767988,Store,A,CARNICERIA GUATEMALTECA CORP,CARNICERIA GUATEMALTECA,5406,5TH AVE ####,BROOKLYN,NY,11220,"{'type': 'Point', 'coordinates': [-74.01283, 40.64268]}",894,,,
ERIE,767963,Store,AC,SOE SAN LLC,GOLDEN BURMA ASIAN FOODS,139,GRANT ST,BUFFALO,NY,14213,"{'type': 'Point', 'coordinates': [-78.89068, 42.91787]}",300,900,,
WESTCHESTER,767950,Store,A,NEW YORK PRESBYTERIAN HOSPITAL,NEW YORK PRESBYTERIAN HOSPITAL,1111,WESTCHESTERE AVE,WHITE PLAINS,NY,10605,"{'type': 'Point', 'coordinates': [-73.72782, 41.01582]}",949,,,
QUEENS,767927,Store,AC,TASTY BITE DELI & GRILL 1 CORP,TASTY BITE DELI & GRILL,74-22,JAMAICA AVE ####,WOODHAVEN,NY,11421,"{'type': 'Point', 'coordinates': [-73.86721, 40.69132]}",196,1000,,
NEW YORK,767911,Store,AC,USA GOURMET GROCERY CORP,USA GOURMET GROCERY,71,LEXINGTON AVE,NEW YORK,NY,10010,"{'type': 'Point', 'coordinates': [-73.98356, 40.74113]}",749,,,
ROCKLAND,767886,Store,A,QUICK STOP STORE LLC,ROCKLAND QUICK STOP,136,N MAIN ST ####,SPRING VALLEY,NY,10977,"{'type': 'Point', 'coordinates': [-74.04405, 41.11764]}",529,,,
ONONDAGA,767884,Store,AC,CUSE FOOD MART INC,CUSE FOOD,1710,GRANT BLVD,SYRACUSE,NY,13208,"{'type': 'Point', 'coordinates': [-76.13972, 43.07226]}",687,,,
BRONX,767877,Store,AC,BANGLA HALAL FOOD MARKET INC,BANGLA HALAL FOOD MARKET,1002,CASTLE HILL AVE ##,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.85008, 40.8278]}",307,2200,,
MONROE,767867,Store,A,A-1 FASHION LTD,A-1 FASHION,892,NORTH CLINTON AVE ####,ROCHESTER,NY,14621,"{'type': 'Point', 'coordinates': [-77.61299, 43.17522]}",537,,,
MONROE,767860,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #31759,610,N GREECE RD,HILTON,NY,14468,"{'type': 'Point', 'coordinates': [-77.73227, 43.25499]}",548,,,
NEW YORK,767850,Store,AC,HEAVENLY FINEST DELI INC,HEAVENLY FINEST DELI,81,RIVINGTON ST,NEW YORK,NY,10002,"{'type': 'Point', 'coordinates': [-73.98933, 40.72038]}",749,900,,
NEW YORK,767837,Store,AC,SONS KITCHEN LLC,SONS KITCHEN,825,2ND AVE,NEW YORK,NY,10017,"{'type': 'Point', 'coordinates': [-73.97121, 40.75123]}",749,,,
