camis,dba,boro,building,street,zipcode,cuisine_description,latitude,longitude,inspection_date,grade,score
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-06-30T00:00:00.000,A,11
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-06-30T00:00:00.000,A,11
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-06-30T00:00:00.000,A,11
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-12-18T00:00:00.000,A,10
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-12-18T00:00:00.000,A,10
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-12-18T00:00:00.000,A,10
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40674404,MARKET RESTAURANT (C-D BLOCK),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2024-06-28T00:00:00.000,,32
40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-04-03T00:00:00.000,,
40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-04-03T00:00:00.000,,2
40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2025-12-17T00:00:00.000,C,33
40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2025-12-17T00:00:00.000,C,33
