camis,dba,boro,building,street,zipcode,cuisine_description,latitude,longitude,inspection_date,grade,score
41263738,MEXICAN FAST FOOD,Bronx,2620,JEROME AVENUE,10468,Mexican,40.86689084303,-73.897831910977,2026-09-08 00:00:00,A,12
41338145,TINOS DELICATESSEN,Bronx,2410,ARTHUR AVENUE,10458,Sandwiches,40.85581426594,-73.887325892195,2026-09-04 00:00:00,A,12
50107343,TWO IN ONE AMERICAN AND MEXICAN FOOD,Bronx,63,EAST KINGSBRIDGE ROAD,10468,American,40.866869963122,-73.895973552428,2026-09-03 00:00:00,A,12
50046506,SUBWAY,Bronx,18,EAST  170 STREET,10452,Sandwiches,40.840063005681,-73.917298968173,2026-08-27 00:00:00,A,7
50016317,TEPANGOS PIZZA & MEXICAN FOOD,Bronx,361,EAST  138 STREET,10454,Pizza,40.809510316855,-73.923843041543,2026-08-25 00:00:00,A,13
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2026-08-21 00:00:00,Z,26
50043049,MONTE GRAB & GO MARKET,Bronx,1790,EASTCHESTER ROAD,10461,American,40.848647893413,-73.845015268904,2026-08-21 00:00:00,A,12
50057220,SUBWAY,Bronx,3422,JEROME AVENUE,10467,Sandwiches,40.881363144786,-73.882772852963,2026-08-19 00:00:00,A,10
50058057,SUBWAY,Bronx,3526,JOHNSON AVENUE,10463,Sandwiches,40.885982242697,-73.909863783038,2026-08-19 00:00:00,A,4
41376798,LA ESPERANZA MEXICAN DELI GROCERY & VEGETABLES,Bronx,2029,GRAND CONCOURSE,10453,Mexican,40.851953836743,-73.903996373039,2026-08-18 00:00:00,,35
41563594,SCAGLIONE BROTHERS BAKERY,Bronx,1078,MORRIS PARK AVENUE,10461,Sandwiches,40.849268522198,-73.853630996614,2026-08-18 00:00:00,A,4
50104822,167 EMPANADAS RD,Bronx,109,EAST  167 STREET,10452,Sandwiches/Salads/Mixed Buffet,40.834970018919,-73.919050791194,2026-08-17 00:00:00,,25
41534701,SUBWAY,Bronx,980,EAST  233 STREET,10466,Sandwiches,40.890826405359,-73.849318266857,2026-08-17 00:00:00,A,10
50189165,BLIMPIE,Bronx,2200,WESTCHESTER AVENUE,10462,Sandwiches,40.834210833785,-73.851456239159,2026-08-13 00:00:00,N,16
50131148,BRIANNAS PIZZERIA AND SPANISH FOOD,Bronx,969,PROSPECT AVENUE,10459,Spanish,40.82262873318,-73.900404032222,2026-08-10 00:00:00,,19
41634847,JING XIN CHINESE FOOD TAKE OUT,Bronx,359,EAST  138 STREET,10454,Chinese,40.809526814059,-73.92388637161,2026-08-10 00:00:00,A,9
50072027,WENDY'S,Bronx,387,EAST  149 STREET,10455,Sandwiches,40.816253141386,-73.918369152465,2026-08-03 00:00:00,A,9
50079485,CARIDAD SEAFOOD RESTAURANT,Bronx,410,EAST TREMONT AVENUE,10457,Latin American,40.847589466336,-73.900485793642,2026-08-03 00:00:00,A,12
50007311,SUBWAY,Bronx,5549,BROADWAY,10463,Sandwiches,40.878178086042,-73.905321654574,2026-07-31 00:00:00,A,8
50188377,MELAOS DOMINICAN FAST FOOD,Bronx,9,WEST TREMONT AVENUE,10453,American,40.851963963986,-73.909718479705,2026-07-27 00:00:00,N,53
50152474,AU BON PAIN,Bronx,1276,FULTON AVENUE,10456,Sandwiches,40.831713940554,-73.903754667953,2026-07-24 00:00:00,A,12
41627341,SUBWAY,Bronx,3683,BRUCKNER BOULEVARD,10461,Sandwiches,40.852446046949,-73.827294045993,2026-07-23 00:00:00,Z,27
