Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
662612,1029 Simpson Deli & Grocery Corp  ,Medium Grocery Store,1029,Westchester Ave,,Bronx,NY,10459,3311,BRONX,40.82426,-73.89309,4/26/2002,12/21/2020
662612,1029 Simpson Deli & Grocery Corp  ,Medium Grocery Store,1029,Westchester Ave,,Bronx,NY,10459,3311,BRONX,40.82426,-73.89309,1/8/2021,8/29/2023
662612,1029 Simpson Deli & Grocery Corp  ,Medium Grocery Store,1029,Westchester Ave,,Bronx,NY,10459,3311,BRONX,40.82426,-73.89309,11/15/2023, 
712081,1045 GROCERY & CANDY  ,Small Grocery Store,1045,E 163rd St, ,Bronx,NY,10459,4510,BRONX,40.82105,-73.8913,8/21/2003,3/26/2008
814618,1048 Express Deli Inc  ,Convenience Store,1048,Westchester Ave, ,Bronx,NY,10459,2410,BRONX,40.82466,-73.89182,4/10/2007,1/29/2014
1486973,1054 United Deli & Tobacco Corp  ,Small Grocery Store,1054,Southern Blvd,,Bronx,NY,10459,3426,BRONX,40.82439,-73.89171,2/17/2022, 
1206639,1078 Deli Grocery Corp  ,Convenience Store,1078,E 165th St, ,Bronx,NY,10459,2589,BRONX,40.82505,-73.89072,8/28/2015,9/22/2019
288111,"1078 GROCERY 2000, INC.  ",Small Grocery Store,1078,E 165th St, ,Bronx,NY,10459,2589,BRONX,40.82503,-73.89061,7/27/2001,7/16/2015
924640,1106 Gourmet Deli Inc  ,Convenience Store,1106,Westchester Ave, ,Bronx,NY,10459,2505,BRONX,40.8253,-73.89054,11/30/2009,9/1/2010
966018,1106 Westchester Gourmet Deli Corp  ,Medium Grocery Store,1106,Westchester Ave, ,Bronx,NY,10459,2505,BRONX,40.8253,-73.89054,9/2/2010,9/17/2012
767481,1142 Grocery Corp  ,Small Grocery Store,1142,E 165th St, ,Bronx,NY,10459,2630,BRONX,40.8252,-73.88745,10/13/2005,11/5/2007
1346181,1150 Joseph Deli & Grocery Inc.  ,Convenience Store,1150,Garrison Ave, ,Bronx,NY,10474,4637,BRONX,40.82017,-73.88855,3/1/2019,8/7/2022
1346181,1150 Joseph Deli & Grocery Inc.  ,Convenience Store,1150,Garrison Ave, ,Bronx,NY,10474,4637,BRONX,40.82017,-73.88855,8/30/2022,3/26/2024
294482,1318 SALCEDO SUPERMARKET CORP  ,Small Grocery Store,1318,Lafayette Ave, ,Bronx,NY,10474,7202,BRONX,40.81687,-73.88617,2/24/2004,2/3/2010
807136,149 DELI CORP  ,Small Grocery Store,543,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.81226,-73.90388,1/30/2007,5/26/2010
1654563,169 Habibi Deli Corp  ,Small Grocery Store,1251,Rev James A Polite Ave,,Bronx,NY,10459,2227,BRONX,40.82864,-73.89665,8/4/2025, 
958505,"2010 A&M Varieties, Corp D/B/A 99 Cents Plus  ",Convenience Store,844,Hunts Point Ave, ,Bronx,NY,10474,5406,BRONX,40.81756,-73.88848,7/7/2010,9/7/2011
1571769,20r Grocery Store Corporation  ,Convenience Store,1300,Lafayette Ave,,Bronx,NY,10474,7202,BRONX,40.81667,-73.88691,1/9/2024, 
1247994,3030 Deli Grocery Inc  ,Convenience Store,1095,E 165th St, ,Bronx,NY,10459,2501,BRONX,40.82515,-73.88979,8/1/2016,11/29/2017
510974,422 Westchester Fruit Vegetable & Grocery Inc  ,Small Grocery Store,966,Longwood Ave, ,Bronx,NY,10459,5008,BRONX,40.81738,-73.89812,2/9/1999,3/30/2021
951921,543 DELI CORP  ,Medium Grocery Store,543,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.81226,-73.90388,5/27/2010,1/14/2015
1182229,543 North Deli Grocery Inc  ,Convenience Store,543,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.81224,-73.90384,2/3/2015,5/14/2025
1648445,543 North Deli Grocery Inc  ,Convenience Store,543,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.81237,-73.90393,4/21/2025, 
1194011,548 Grocery Deli Inc  ,Convenience Store,548,Southern Blvd, ,Bronx,NY,10455,3715,BRONX,40.81219,-73.9038,5/14/2015,11/22/2019
909221,561 Southern Food Corp  ,Small Grocery Store,561D,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.8124,-73.90337,10/7/2009,12/9/2014
240733,564 GROCERY INC  ,Super Store,564,Southern Blvd, ,Bronx,NY,10455,3715,BRONX,40.81248,-73.90279,8/14/1984, 
830569,585 Altagracia Grocery Corp  ,Small Grocery Store,585,Southern Blvd, ,Bronx,NY,10455,3762,BRONX,40.81259,-73.90274,9/25/2007,12/1/2009
1056571,639-641 Grocery Corp  ,Small Grocery Store,639,Southern Blvd, ,Bronx,NY,10455,3602,BRONX,40.81304,-73.90115,10/24/2012,2/2/2021
826586,639-641 Southern Boulevard Inc  ,Small Grocery Store,639,Southern Blvd, ,Bronx,NY,10455,3602,BRONX,40.81304,-73.90115,9/24/2007,7/9/2012
1498571,670 Toledo Grocery Corp  ,Small Grocery Store,670,Barretto St,,Bronx,NY,10474,6343,BRONX,40.81393,-73.88908,6/29/2022,3/30/2025
1142908,671 Kelly Deli Grocery Inc  ,Convenience Store,671,Kelly Street, ,Bronx,NY,10455, ,BRONX,40.8154,-73.90233,6/10/2014,2/5/2019
647136,698 GROCERY INC  ,Convenience Store,698,Beck St, ,Bronx,NY,10455,3451,BRONX,40.81491,-73.90051,10/28/1999,11/7/2012
797350,699 BECK ST. GROCERY CORP  ,Small Grocery Store,699,Beck St, ,Bronx,NY,10455,3421,BRONX,40.81502,-73.90044,8/16/2006,5/12/2010
904780,7-Eleven#39045A  ,Combination Grocery/Other,1081,Leggett Ave, ,Bronx,NY,10474,5604,BRONX,40.81235,-73.89631,7/2/2009,1/16/2012
1641074,703 Habibi Halal Deli Inc 1,Convenience Store,703,Southern Blvd,,Bronx,NY,10455,2105,BRONX,40.81378,-73.89915,4/25/2025, 
1012067,801 Hunts Point Deli Corp  ,Convenience Store,801,Hunts Point Ave, ,Bronx,NY,10474,5401,BRONX,40.81662,-73.88808,7/19/2011,2/25/2019
1012067,801 Hunts Point Deli Corp  ,Convenience Store,801,Hunts Point Ave, ,Bronx,NY,10474,5401,BRONX,40.81662,-73.88808,3/1/2019,4/11/2021
378697,848 HUNTS POINT DELI GROCERY INC  ,Convenience Store,848,Hunts Point Ave, ,Bronx,NY,10474,5406,BRONX,40.81775,-73.88854,7/1/2004,6/15/2015
1389353,848 Stop 1 Deli Grocery Inc  ,Convenience Store,848,Hunts Point Ave,,Bronx,NY,10474,5406,BRONX,40.81768,-73.88838,2/6/2020,12/26/2021
1068367,862 Food Corp/Food Dynasty  ,Super Store,862,Hunts Point Ave, ,Bronx,NY,10474,5407,BRONX,40.81823,-73.88889,10/2/2012,12/9/2014
681518,869 DELI GROCERY CORP  ,Convenience Store,865,E 149th St, ,Bronx,NY,10455,4610,BRONX,40.81169,-73.90358,9/26/2002,9/26/2005
1306261,901 Gourmet Deli Corp  ,Convenience Store,901,Southern Blvd, ,Bronx,NY,10459,4560,BRONX,40.81959,-73.8929,3/16/2018,10/24/2023
986545,908 Garcia Fruits & Grocery Corp  ,Medium Grocery Store,908,E 163rd St, ,Bronx,NY,10459,4154,BRONX,40.82095,-73.8979,1/13/2011,10/1/2015
665388,931 DELI-GROCERY CORP  ,Small Grocery Store,931,Fox St, ,Bronx,NY,10459,4338,BRONX,40.82077,-73.89391,6/5/2003,7/24/2013
1304083,947 Deli Grocery Corp  ,Convenience Store,947,E 163rd St, ,Bronx,NY,10459,4211,BRONX,40.82106,-73.89606,12/21/2017,3/14/2023
1083359,950 Fair Food Corp/Fine Fare Supermarket  ,Supermarket,950,Westchester Ave, ,Bronx,NY,10459,3219,BRONX,40.82236,-73.89603,11/29/2012, 
1002656,950 Food Corp/Price Choice Supermarket  ,Super Store,950,Westchester Ave, ,Bronx,NY,10459,3219,BRONX,40.82235,-73.89628,5/5/2011,3/12/2014
840869,971 Grocery Store Corp  ,Small Grocery Store,971A,Westchester Ave, ,Bronx,NY,10459,3204,BRONX,40.82299,-73.89529,12/31/2007,10/15/2008
833172,99 C Brands Inc.  ,Small Grocery Store,836,Hunts Point Ave, ,Bronx,NY,10474,5406,BRONX,40.81739,-73.88839,12/27/2007,1/28/2014
864285,99 Cent Days & Discount Inc.  ,Convenience Store,901,Southern Blvd, ,Bronx,NY,10459,4507,BRONX,40.81951,-73.89297,10/14/2008,7/2/2017
988221,99 Cent Discount King Inc  ,Convenience Store,953,Southern Blvd,Frnt B,Bronx,NY,10459,3428,BRONX,40.82141,-73.89172,2/3/2011,1/16/2012
798328,99 CENT EXPRESS INC  ,Convenience Store,789,Southern Blvd, ,Bronx,NY,10455,2114,BRONX,40.816,-73.89659,9/21/2006,6/20/2010
1120190,99 Cents Of Southern Inc  ,Convenience Store,789,Southern Blvd, ,Bronx,NY,10455,2114,BRONX,40.816,-73.89659,2/11/2014,11/23/2018
796580,99 CENTS PLUS DISCOUNT & HAIR SUPPLY INC  ,Convenience Store,844,Hunts Point Ave, ,Bronx,NY,10474,5406,BRONX,40.81756,-73.88848,8/24/2006,6/20/2010
1055275,99c Us1  ,Convenience Store,1041,E 163rd St, ,Bronx,NY,10459,4510,BRONX,40.82105,-73.89138,8/20/2012,5/5/2015
1108520,A & G Deli Grocery Corp  ,Small Grocery Store,931,Fox St,,Bronx,NY,10459,4338,BRONX,40.82073,-73.894,8/1/2013, 
1222029,A & G Deli Grocery II Corp  ,Convenience Store,976,Prospect Ave, ,Bronx,NY,10459,2904,BRONX,40.82335,-73.90006,12/28/2015, 
1289222,A & G Deli Grocery Iii Corp  ,Small Grocery Store,948,E 163rd St,,Bronx,NY,10459,4209,BRONX,40.82093,-73.89596,7/25/2017,10/4/2020
1289222,A & G Deli Grocery Iii Corp  ,Small Grocery Store,948,E 163rd St,,Bronx,NY,10459,4209,BRONX,40.82093,-73.89596,10/16/2020, 
1648819,A & Z Gourmet Deli Corp  ,Convenience Store,770,Hunts Point Ave,,Bronx,NY,10474,5920,BRONX,40.81631,-73.88741,5/29/2025, 
982838,A &M Grocery and Candy Corp  ,Convenience Store,872,Hunts Point Ave, ,Bronx,NY,10474,5402,BRONX,40.81872,-73.88915,12/10/2010,3/22/2022
1070975,A Z Deli Inc  ,Convenience Store,1093A,Southern Blvd, ,Bronx,NY,10459,2417,BRONX,40.82595,-73.89199,11/20/2012,3/31/2014
1178797,A&O Deli Grocery Corp  ,Small Grocery Store,922,Barretto St, ,Bronx,NY,10459, ,BRONX,40.81947,-73.89317,3/5/2015,11/29/2017
1029143,A.J.B. Deli Grocery Inc  ,Small Grocery Store,701,Coster St, ,Bronx,NY,10474,6401,BRONX,40.81442,-73.8875,12/1/2011,8/5/2024
872167,A1 Depot Inc  ,Combination Grocery/Other,1195,Spofford Ave, ,Bronx,NY,10474,5833,BRONX,40.81379,-73.89139,11/17/2009, 
477125,AA SABA DELI & GROCERY  ,Small Grocery Store,870,Prospect Ave, ,Bronx,NY,10459,3926,BRONX,40.82028,-73.90129,8/20/2003,12/18/2005
1266903,AAA Biz Net Inc/ AAA Deli and Grocery  ,Convenience Store,978,Longwood Ave, ,Bronx,NY,10459,5108,BRONX,40.81713,-73.89767,1/25/2017,10/19/2017
1376307,"Aarons Corner Deli, Llc  ",Convenience Store,1251,Rev James A Polite Ave, ,Bronx,NY,10459,2227,BRONX,40.82857,-73.89658,12/5/2019,11/18/2024
1507967,Aayan Fruits & Vegetables Inc  ,Small Grocery Store,547,Southern Blvd,,Bronx,NY,10455,3705,BRONX,40.81243,-73.90369,7/28/2022, 
1136895,Abdus Salam GREEN CART  ,Fruits/Veg Specialty,953,Southern Blvd, ,Bronx,NY,10459, ,BRONX,40.82143,-73.89169,3/7/2014,12/20/2018
739784,Acosta Deli Grocery Inc  ,Small Grocery Store,590,Southern Blvd, ,Bronx,NY,10455, ,BRONX,40.81277,-73.90179,1/19/2005,9/13/2009
1113129,Al-Bathaa Deli Grocery Corp  ,Small Grocery Store,870,Prospect Ave, ,Bronx,NY,10459,3926,BRONX,40.82028,-73.90129,9/27/2013,4/11/2018
895644,ALANTE ALANTE DELI GROCERY CORP  ,Convenience Store,1006,INTERVALE AVENUE, ,BRONX,NY,10459,3146,BRONX,40.8234,-73.89684,6/2/2009,9/12/2012
1150883,Aldus 99 Cents Discount Store Corp / 99 Cents Disc  ,Combination Grocery/Other,951,Hoe Ave, ,Bronx,NY,10459,3619,BRONX,40.8221,-73.89037,7/3/2014,7/12/2018
1150883,Aldus 99 Cents Discount Store Corp / 99 Cents Disc  ,Combination Grocery/Other,951,Hoe Ave, ,Bronx,NY,10459,3619,BRONX,40.8221,-73.89037,8/29/2019, 
